0,1,2,3,4,5,6,7
,"UNSDCF outcome indicators,
baselines, targets",Country programme outputs,"Output indicators, baselines and targets",Partner contributions,,Indicative,
,,,,,,resources,
"UNSDCF Outcome indicators:
• Percentage of women aged 20-
24 years who were married
before age 18
Baseline: 51.4% (2019);
Target: 30% (2026)
• Adolescent fertility rate (births
per 1,000 women aged 15-19
years)
Baseline: (2019);
Target: 60 (2026)",,"Output 1. Adolescents and youth in
priority districts, including
disaster-prone districts, acquired
comprehensive life skills for
improved sexual and reproductive
health, mental health and gender-
equitable attitudes","• National primary and secondary school curriculum
incorporated comprehensive life skills education
content and endorsed by the Government
Baseline: No (2021); Target: Yes (2026)
• Number of education training institutions in priority
districts that adopted gender-transformative life skills
education curriculum addressing reproductive health
and gender equality for both in-school and out-of-
school adolescents and youth
Baseline: 285 (2021); Target: 300 (2026)
• Percentage of young people represented from
established youth platform in engaging in national-
level policy dialogue on youth issues across the
humanitarian-development continuum
Baseline: 0 (2021); Target: 5% (2026)","Ministries of: Youth and
Sports, Education, Health
and Family Welfare,
Women and Children
Affairs; national skill
development authority;
civil society organizations;
non-governmental
organizations; academia;
media; parliamentarians,
United Nations
organizations","$5.1 million
($3.6 million
from regular
resources and
$1.5 million
from other
resources)",,
,,"Output 2: Girls, at risk of
adolescent pregnancy, child
marriage, or who are married,
benefit from improved economic
and life skills education
opportunities, are protected from
violence and able to access
protection interventions and
services across the development-
humanitarian-peacebuilding
continuum","• Number of girls who received life skills education for
the protection and prevention against child marriage
and adolescent pregnancy in priority districts with high
child marriage rates
Baseline: 4,300 (2020); Target: 20,000 (2026)
• Number of priority district level plans with evidence-
based interventions to address child marriage and
adolescent pregnancy developed and implemented in
line with National Plan of Action to End Child
Marriage
Baseline: 0 (2021); Target: 5 (2026)",,"$2.4 million
($0.9 million
from regular
resources and
$1.5 million
from other
resources)",,
,"NATIONAL PRIORITY: Social protection, social welfare and social inclusion. Gender equality and women’s empowerment",,,,,,
,"UNSDCF OUTCOME INVOLVING UNFPA: By 2026 more women, girls and sexual minorities benefit from an environment in which they are empowered to exercise their",,,,,,
,"rights, agency and decision-making power over all aspects of their lives towards a life free from all forms of discrimination, violence and harmful norms and practices.",,,,,,
,"RELATED UNFPA STRATEGIC PLAN OUTCOME: Gender equality, the empowerment of all women and girls, and reproductive rights are advanced in development and",,,,,,
,humanitarian settings,,,,,,
,"UNSDCF outcome indicators,
baselines, targets",Country programme outputs,"Output indicators, baselines and targets",Partner contributions,,Indicative,
,,,,,,resources,
"UNSDCF Outcome indicators:
• Proportion of ever-partnered
women and girls aged 15 years
and older subjected to physical,
sexual or psychological
violence by a current or former
intimate partner in the previous",,"Output 1. Positive change in
gender norms and decreased
acceptance of gender-based
violence and harmful practices,
including among vulnerable
groups, contributing to more
inclusive and resilient communities","• Percentage increase of the target population with
knowledge of key causes and consequences of gender-
based violence among participants of community
mobilization initiatives in priority districts,
disaggregated by men and boys, women and girls
Baseline: 0; Target: 80% increase from the baseline","Ministries of: Women and
Children Affairs; the
private sector, the media,
civil society organizations,
non-governmental
organizations; United
Nations organizations","$2.1 million
($1.4 million
from regular
resources and
$ 0.7 million
from other
resources)",,
