0,1
Table 4.3.7. TB case notification and treatment success in 2023,
Parameter,Value
Total notified DS-TB cases,"301,564"
Notified TB/HIV co-infection,58
Laboratory-confirmed MDR/RR-TB cases,"2,729"
MDR/RR-TB patients started treatment,"2,071"
Laboratory-confirmed pre-XDR/XDR-TB cases,6
Pre-XDR/XDR-TB patients starting treatment,86
Treatment success of new and relapsed cases registered in 2022 (analyzed in 2023),95%
Treatment success in MDR/RR-TB cases starting second-line treatment in 2021,74%
