0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,,"22
naJ",,,"22
beF",,,"22
raM",,,"22
lirpA",,,"22
yaM",,,"22
enuJ",,,"22
yluJ",,,"22
tsuguA",,,"22
peS",,,"22
tcO",,,22voN,,,"22
ceD",,,latoT,
,Reported cases in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EWARS (actual),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acute Watery
Diarrhoea (AWD)",,,14780,,,8820,,,8615,,,12013,,,10933,,,13049,,,13250,,,11279,,,15550,,,20201,,,13195,,,13681,,,155366,,
"Bloody Diarrhoea
(BD)",,,2117,,,1793,,,1503,,,1602,,,1293,,,1789,,,1686,,,1299,,,1435,,,1548,,,1193,,,1453,,,18711,,
"Other Diarrhoea
(OD)",,,5127,,,4087,,,3936,,,4980,,,4057,,,5048,,,5160,,,4027,,,5670,,,7552,,,4923,,,6179,,,60746,,
Suspected varicella,,,307,,,765,,,3050,,,3514,,,692,,,340,,,261,,,141,,,182,,,113,,,149,,,343,,,9857,,
"Acute
Respiratory Infection
(ARI)",,,110331,,,82171,,,65589,,,66524,,,46147,,,71377,,,99980,,,71351,,,104541,,,101130,,,80773,,,98447,,,998361,,
Measles/Rubella,,,128,,,112,,,98,,,106,,,66,,,84,,,167,,,73,,,101,,,52,,,55,,,62,,,1104,,
Suspected mumps,,,729,,,416,,,599,,,3400,,,474,,,646,,,455,,,302,,,379,,,355,,,279,,,430,,,8464,,
"Acute Flaccid
Paralysis (AFP)",,,5,,,7,,,14,,,11,,,3,,,1,,,83,,,5,,,2,,,12,,,5,,,8,,,156,,
"Suspected
Meningitis",,,6,,,17,,,3,,,5,,,15,,,24,,,50,,,33,,,18,,,11,,,16,,,18,,,216,,
"Acute Jaundice
Syndrome (AJS)",,,82,,,54,,,52,,,78,,,142,,,162,,,206,,,143,,,147,,,102,,,104,,,122,,,1394,,
"Suspected
Haemorrhagic Fever
(HF)",,,0,,,8,,,7,,,9,,,5,,,0,,,33,,,72,,,143,,,112,,,52,,,25,,,466,,
Neonatal tetanus,,,4,,,0,,,0,,,1,,,3,,,0,,,22,,,1,,,0,,,0,,,0,,,0,,,31,,
Adult tetanus,,,1,,,1,,,0,,,0,,,11,,,0,,,25,,,0,,,2,,,0,,,5,,,2,,,47,,
Malaria (conf.),,,213,,,1,,,1,,,5,,,1,,,76,,,54,,,18,,,14,,,13,,,11,,,16,,,423,,
Malaria (susp.),,,13740,,,5506,,,4217,,,4354,,,4067,,,6566,,,6707,,,5373,,,2328,,,206,,,159,,,235,,,53458,,
Dengue (conf.),,,333,,,43,,,19,,,59,,,220,,,2955,,,8391,,,3874,,,1897,,,1015,,,807,,,727,,,20340,,
Dengue (susp.),,,225,,,53,,,36,,,14,,,80,,,671,,,3951,,,1811,,,940,,,515,,,220,,,166,,,8682,,
Unexplained fever,,,7574,,,5658,,,3902,,,3981,,,3346,,,5784,,,7743,,,5537,,,5354,,,5597,,,3842,,,3943,,,62261,,
Severe Malnutrition,,,413,,,152,,,125,,,144,,,105,,,157,,,225,,,225,,,331,,,367,,,258,,,274,,,2776,,
Injuries/ Wounds,,,10632,,,8168,,,8606,,,10442,,,8325,,,10730,,,10696,,,8770,,,8726,,,11012,,,8908,,,11253,,,116268,,
Other,,,390296,,,295698,,,290024,,,330388,,,239754,,,324780,,,389485,,,326017,,,367022,,,428335,,,351222,,,408920,,,4141941,,
