0,1,2,3,4,5,6,7,8
,Facility,,,Major,,,Minor,
,,,,Surgery,,,Surgery,
Meherpur 250 bed District Hospital,,,1075,,,11067,,
Moulvibazar 250 bed District Sadar Hospital,,,2475,,,12049,,
Munshiganj 250 bed District Hospital,,,653,,,2102,,
Naogaon 250 bed District Hospital,,,851,,,14864,,
Narail District Hospital,,,494,,,8738,,
Narayanganj 300 bed Hospital,,,894,,,7299,,
Narayanganj General (Victoria) Hospital,,,767,,,7516,,
Narsingdi 100 Bed Zilla Hospital,,,451,,,5421,,
Narsingdi District Hospital,,,749,,,8216,,
Natore District Hospital,,,1870,,,3134,,
Netrokona District Hospital,,,717,,,31016,,
Nilphamari 250 bed District Hospital,,,586,,,11905,,
Noakhali 250 Bed General Hospital,,,4085,,,23280,,
Pabna 250 bed General Hospital,,,3224,,,16889,,
Panchagarh District Hospital,,,793,,,8853,,
Patuakhali 250 bed Sadar Hospital,,,1776,,,8859,,
Pirojpur District Hospital,,,194,,,4225,,
Rajbari District Hospital,,,988,,,4307,,
Rangamati General Hospital,,,693,,,2342,,
Satkhira District Hospital,,,873,,,5402,,
Shaheed Ahsan Ullah Master General Hospital,,,1415,,,3378,,
Shariatpur District Hospital,,,2107,,,4611,,
Sherpur 250 bed District Sadar Hospital,,,1066,,,4448,,
"Sirajganj 250 Bed Bongamata Sheikh Fazilatunnesa Mujib
General Hospital",,,1564,,,12686,,
Sunamganj 250 bed District Sadar Hospital,,,779,,,19217,,
Sylhet Shahid Shamsuddin Ahmed District Hospital,,,641,,,996,,
Tangail 250 Bed District Hospital,,,4266,,,17892,,
Thakurgaon District Hospital,,,1258,,,6565,,
