0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Organization/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Device Category,,,,,,,,,,,,,,,,,,,,,,
,Facility,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,All-in-1,,,Desktop,,,Laptop,,,Monitor,,,Printer,,,TAB,,,Router,,,Total,,
CS Office,,,,,,,,,10,,,,,,,,,,,,,,,10,,
DG Office,,,11,,,3,,,18,,,,,,23,,,,,,10,,,65,,
"District
Hospital",,,2,,,,,,12,,,,,,,,,,,,,,,14,,
"Institute &
Specialized
Inst.",,,5,,,,,,7,,,,,,,,,,,,,,,12,,
MOHFW,,,,,,,,,,,,,,,,,,,,,,,,0,,
"Other Building
of DGHS",,,,,,,,,,,,,,,,,,,,,,,,0,,
"Port Health
Office",,,15,,,,,,8,,,,,,3,,,,,,,,,26,,
UHC with CC,,,25,,,35,,,57,,,,,,,,,,,,2,,,119,,
,Grand Total,,,58,,,38,,,112,,,0,,,26,,,0,,,12,,,246,
,,,,,,,,,,,,,,,,,,,,,,,,,,
10.4.3 Supply of ICT Equipment and,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Stationeries,,,,,,,,,,,,,,,,,,,,,,,,,,
