0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Type of delivery/ facility,,,Government facility,,,,,,,,,,,,,,,,,,Non-government facility,,,,,,,,,"Total
facilities",,
,,,MCH,,,GH/ DH,,,UHC,,,CC,,,"Other govt.
hospitals",,,Sub-total,,,"Private
MCH",,,,NGO,,Sub-total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,hospital/priv,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ate clinic,,,,,,,
No. of normal deliveries,,,"43,417",,,"67,312",,,"170,777",,,"16,699",,,"22,587",,,"320,792",,,2033,,,"151,086",,,"153,119",,,"473,911",,
,% of normal deliveries,,,43.13,,,66.77,,,92.60,,,100.00,,,89.31,,,74.97,,,34.89,,,35.54,,,35.53,,,55.18,
No. of cesarean section,,,"54,812",,,"32,418",,,"12,563",,,0,,,2516,,,"102,309",,,3498,,,"270,942",,,"274,440",,,"376,749",,
,% of cesarean section,,,54.45,,,32.16,,,6.81,,,0.00,,,9.95,,,23.91,,,60.03,,,63.73,,,63.68,,,43.87,
"No. of forceps/ vacuum/
breech deliveries",,,"2,071",,,964,,,"1,016",,,0,,,163,,,"4,214",,,9,,,"1,495",,,"1,504",,,"5,718",,
,% of forceps/ vacuum/,,2.06,,,0.96,,,0.55,,,,,,0.64,,,0.98,,,0.15,,,0.35,,,0.35,,,0.67,,
,breech deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No. of destructive/
invasive operation",,,374,,,113,,,67,,,0,,,25,,,579,,,287,,,1594,,,"1,881",,,"2,460",,
,% of destructive/ invasive,,0.37,,,0.11,,,0.04,,,,,,0.10,,,0.14,,,4.93,,,0.37,,,0.44,,,0.29,,
,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total deliveries in
facilities",,,"100,674",,,"100,807",,,"184,423",,,"16,699",,,"25,291",,,"427,894",,,"5,827",,,"425,117",,,"430,944",,,"858,838",,
