0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"TB-
Confirmed",274,251,227,265,337,361,328,362,284,52,58,159,2958,,
Varicella,223,774,"135
5",658,283,195,98,151,126,158,337,107,4465,,
COPD,"318
6","325
2","332
9","266
8","219
5","246
9","216
9","268
6","277
8","292
8","302
7","321
4",,3390,
,,,,,,,,,,,,,,1,
Asthma,"274
7","298
2","298
1","243
5","201
1","210
0","184
4","225
0","231
9","217
7","225
8","258
3",,2868,
,,,,,,,,,,,,,,7,
"Hypertensio
n (HTN)","112
43","118
23","113
93","919
7","781
5","918
2","905
4","107
72","105
59","103
95","114
54","120
22",,1249,
,,,,,,,,,,,,,,09,
"Other
psychologic
al or mental
health
conditions","137
2","148
1","159
4","100
7",933,"117
4",755,"107
2","135
5","112
3","173
3","131
6","1491
5",1491,
,,,,,,,,,,,,,,5,
"Moderate-
severe
emotional
disorder",427,345,501,409,392,558,399,371,585,515,474,386,5362,,
Injuries,"974
2","889
7","101
80","960
8","885
7","899
7","860
9","102
94","963
9","827
5","860
2","862
7",,1103,
,,,,,,,,,,,,,,27,
