0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
S.N,Name of District Hospital,,OPD Visit,,,,,,Emergency Visit,,,,,,Admission,,,,,ALS,BOR,,Sanctioned,
,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,,,Bed,
1,Bagerhat District Hospital,48343,,,69967,,,6534,,,5536,,,6526,,,7777,,,3.14,119.89,250,,
2,"Bandarban 250 Bed District Hospital, Bandarban",31276,,,37243,,,2839,,,1547,,,2361,,,2540,,,4.62,48.99,250,,
3,Barguna District Hospital,44646,,,76840,,,14643,,,14207,,,8060,,,10553,,,2.64,141.74,250,,
4,Barisal General Hospital,67449,,,71463,,,7252,,,7695,,,4856,,,5245,,,7.09,84.98,100,,
5,Bhola 250 Bed District Sadar Hospital,61016,,,71983,,,7486,,,6277,,,25467,,,21496,,,1.86,222.00,100,,
6,Bogra 250 Bed Mohammad Ali District Hospital,124105,,,138602,,,17925,,,16868,,,4912,,,5720,,,6.37,71.18,250,,
7,Brahmanbaria 250 Bed District Sadar Hospital,120708,,,99557,,,53752,,,36978,,,15401,,,16741,,,3.21,112.33,250,,
8,Chandpur 250 Bed General Hospital,76551,,,84468,,,31762,,,27371,,,15100,,,17639,,,2.65,98.41,250,,
9,Chapainawabganj 250 Bed District Hospital,165063,,,201266,,,17520,,,17455,,,16564,,,17511,,,2.60,222.09,250,,
10,Chattogram 250 Bed General Hospital,48310,,,53150,,,9837,,,5064,,,2194,,,2482,,,3.05,31.03,250,,
11,Chuadanga District Hospital,100850,,,75912,,,33592,,,33569,,,18589,,,22146,,,2.42,272.25,250,,
12,Cox's Bazar 250 Bed District Sadar Hospital,65393,,,85969,,,45035,,,46194,,,34308,,,34305,,,3.13,244.83,250,,
13,Cumilla General Hospital,68272,,,95915,,,12594,,,8638,,,3394,,,3629,,,2.27,146.52,100,,
14,Dinajpur 250 Bed General Hospital,47307,,,56708,,,10305,,,6898,,,6020,,,7273,,,3.73,54.76,250,,
15,Faridpur General Hospital,57840,,,65406,,,26061,,,17513,,,9708,,,7658,,,2.16,100.08,100,,
16,Feni 250 Bed District Sadar Hospital,72651,,,72460,,,31125,,,34257,,,17432,,,26788,,,2.62,126.68,250,,
17,Gaibandha 250 Bed District Hospital,65645,,,67575,,,33236,,,30114,,,12294,,,14645,,,2.24,85.42,250,,
18,Gopalganj 250 Bed General Hospital,77439,,,91376,,,25069,,,22422,,,17645,,,18672,,,2.88,107.83,250,,
19,Habiganj 250 Bed District Hospital,55691,,,62605,,,12775,,,15008,,,15316,,,19252,,,1.85,113.98,250,,
20,Jamalpur 250 Bed General Hospital,126745,,,155899,,,37801,,,36725,,,27790,,,28089,,,2.39,142.75,250,,
21,Jashore 250 Bed General Hospital,155942,,,249505,,,7815,,,7773,,,29748,,,31996,,,2.65,155.12,250,,
22,Jhalokathi District Hospital,42535,,,76985,,,25060,,,24302,,,5197,,,7291,,,2.47,81.13,250,,
23,Jhenaidah 250 Bed General Hospital,97477,,,145844,,,11719,,,7095,,,15490,,,20335,,,2.69,251.38,250,,
24,Joypurhat 250 Bed District Hospital,90321,,,138787,,,5323,,,5265,,,16040,,,19376,,,3.26,179.16,250,,
25,Khagrachari District Hospital,48311,,,74059,,,5272,,,3683,,,6455,,,9003,,,2.82,111.24,250,,
26,Khulna 250 Bed General Hospital,43060,,,79003,,,9155,,,7610,,,2416,,,3599,,,5.76,61.88,250,,
27,Kishoreganj 250 Bed District Sadar Hospital,104172,,,183273,,,38339,,,42894,,,19287,,,27576,,,1.89,96.94,250,,
28,Kurigram 250 Bed District Hospital,93778,,,121447,,,25185,,,28526,,,15879,,,19162,,,2.48,254.71,250,,
29,Kushtia 250 Bed General Hospital,117070,,,165815,,,13476,,,11699,,,27492,,,29151,,,3.44,207.09,250,,
30,Lakshmipur District Hospital,132340,,,146052,,,11332,,,7579,,,13362,,,15915,,,2.70,227.63,250,,
31,Lalmonirhat District Hospital,118540,,,121950,,,12675,,,11830,,,7361,,,8232,,,2.97,134.88,250,,
32,Madaripur District Hospital,33515,,,57759,,,21116,,,19977,,,13897,,,12766,,,1.84,133.78,250,,
