0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCH,,,,DH/GH,,,,UHC,,,MCWC,,,,"Specialized
hospitals",,,,"Govern-
ment
health
facilities",,,,"Private
MCH",,,,"Private
clinic",,,,"NGO
clinic",,,,"Private
& NGO
health
facilities",,,,"Grand
total",,
% of normal deliveries,45.38,,,,67.20,,,,92.80,,,87.14,,,,41.49,,,,71.83,,,,36.10,,,,32.36,,,,57.60,,,,37.21,,,,55.56,,
% cesarean sections,52.40,,,,31.76,,,,6.24,,,12.08,,,,54.56,,,,26.68,,,,63.25,,,,66.49,,,,37.02,,,,60.84,,,,42.73,,
% other assisted deliveries,2.22,,,,1.05,,,,0.96,,,0.78,,,,3.95,,,,1.49,,,,0.64,,,,1.15,,,,5.38,,,,1.95,,,,1.71,,
