0,1,2,3,4,5,6,7,8,9,10,11
"Sl.
no.","Thematic area
of SBCC activity","Number
of
batches",No. of participants,,,,,,,,
,,,MOHFW personnel,,,,"Non-MOHFW
personnel",,Total no. of participants,,
,,,Central level,,Field level,,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female,Total
9.,"Workshop for
awareness-
building on
stop tobacco
consumption
and substance-
abuse",56,96,8,514,221,1152,539,1762,768,2530
10.,"Workshop for
mothers on
newborn’s care
and cleanliness",23,45,1,293,631,10,55,348,687,1035
11.,"Workshop on
awareness-
building
for Injury
prevention,
road-traffic
accident,
drowning,
animal-bites,
and burn",93,156,15,898,358,2094,805,3148,1178,4326
12.,"Promote safe
and healthy
environment
within health
facilities,
households,
and workplaces,
including overall
cleanliness and
MWM",40,65,3,1067,1172,0,0,1132,1175,2307
13.,"Awareness
on climate
change, injury
prevention,
food safety and
food hygiene",98,181,13,2351,1280,454,131,2986,1424,4410
14,"Develop
lifestyle and
environmental
strategy in
collaboration
with other
ministries/
stakeholders",8,17,0,150,86,92,31,259,117,376
Grand Total,,693,1175,93,13641,11275,5223,1987,20039,13355,33394
