0,1
Name of specialized and general hospital,Average length of stay
"National Institute of Diseases of the Chest and Hospital, Dhaka",14.7
National Institute of Neurosciences (NINS),13.5
National Institute of ENT In Dhaka,13.4
"National Institute of Mental Health and Research, Dhaka",12.5
"National Institute of Cancer Research and Hospital, Dhaka",10.2
"National Institute of Kidney Diseases & Urology, Dhaka",9.7
"National Institute of Traumatology & Orthopaedic Rehabilitation (NITOR), Dhaka",9.4
Sheikh Russel Gastroliver Institute & Hospital,7
Kurmitola General Hospital ( 500-bed ),5.2
Mugda 500-bed General Hospital,4.8
"National Institute of Cardiovascular Diseases, Dhaka",4.1
"National Institute of Ophthalmology (NIO), Dhaka",3.8
"Bangladesh Institute of Tropical and Infectious Diseases, Fouzdarhat",2.9
National Centre for Control of Rheumatic Fever and Heart Disease,0
Shaheed Sheikh Abu Naser Specialized Hospital,0
Sheikh Fazilatunnessa Mujib Eye Hospital and Training Institute,0
"Pabna Mental Hospital, Pabna",0
