0,1,2
Table Continued...,,
Sl. no.,Drugs/Medicines,
186,"Sodium Chloride 0.9%, without or with Dextrose",Intravenous infusion
187,Sodium Bicarbonate,Infusion (Various strengths)
,17.5.2 Medicines for diarrhea in children,
188,Zinc suphfate,Oral liquid/Tablet
,"18. Hormones, other endocrine medicines, and contraceptives",
,18.1 Adrenal hormones and synthetic substitutes,
189,ACTH,Injection
,SL No. 26,Injection
,18.2 Androgens,
190,Danazol,Capsule
,18.3 Contraceptives,
,18.3.1 Oral hormonal contraceptives,
191,Ethinylestradiol + levonorgestrel,"Tablet: 30 micrograms + 150
micrograms"
192,Ethinylestradol + Lynestrenol,Tablet 0.0375 mg+0.75 mg
193,Desogesterol + Ethinylestradiol,Tablet : 0.15 mg+0.03 mg
194,Levonorgestrel,Tablet 750 microgram
,18.3.2 Injectable hormonal contraceptives,
195,Depot Medroxyprogesterone,Injection
,18.3.3 Intrauterine devices,
196,Copper-T containing device,
,18.3.4 Barrier methods,
197,Condoms,
,18.3.5 Implantable contraceptives,
198,"Levonorgestrel-releasing implant
18.4 Estrogens",
,,
199,Oestrogens with or without Progestogens for HRT,
,18.5 Insulins and other medicines used for diabetes,
200,Glibenclamide,Tablet
201,Insulin,Various preparations
202,Chlorpropamide,Tablet
203,Metformin Hydrochloride,Tablet
,18.6 Ovulation inducers,
204,Clomiphene Citrate,Tablet
,18.7 Progestogens,
205,Medroxyprogesterone acetate,Tablet 5 mg
,18.8 Thyroid hormones and antithyroid medicines,
206,Carbimazole,Tablet
207,Aqueous lodine,Oral solution (Lugol’s Solution)
Table 7.1. Contd.,,
