0,1,2,3,4,5,6
"Table 16.5. Numbers of sanctioned, filled-up and vacant posts of domiciliary staff (Health Inspectors,
Assistant Health Inspectors, and Health Assistants) under DGHS from 2013 through 2015.",,,,,,
Year (Month),Post,"Health
Inspector","Assistant
Health
Inspector","Health
Assistant","Total field
staff","Vacancy
(%)"
2013 (Dec),Sanctioned,"1,399","4,202","20,881","26,482",16.75
,Filled-up,"1,313","4,042","16,690","22,045",
,Vacant,86,160,"4,191","4,437",
2014 (Dec),Sanctioned,"1,399","4,205","20,877","26,481",14
,Filled-up,"1,282","4,006","17,532","22,820",
,Vacant,117,199,"33,45","3,661",
2015 (Dec),Sanctioned,"1,399","4,205","20,877","26,481",15
,Filled-up,"1,232","3,891","17,332","22,455",
,Vacant,167,314,"3,545","4,026",
