0,1,2,3,4,5,6,7,8,9
Division,Class,,Sanctioned,Filled-up,,,,Vacant,
,,,,Male,Female,Total,"Filled-up
as % of
sanctioned
posts",No.,"Vacant
as % of
sanctioned
posts"
Barisal,Class I,Doctors,1543,995,324,1319,85,224,15
,,Non-doctors,25,6,1,7,28,18,72
,Class II,,1614,76,1441,1517,94,97,6
,Class III,,4043,2288,1167,3455,85,628,15
,Class IV,,1912,1136,381,1517,79,395,21
,Total,,9177,4501,3314,7815,85,1362,15
Chittagong,Class I,Doctors,3911,2550,1110,3660,94,251,6
,,Non-doctors,61,12,0,12,20,49,80
,Class II,,3128,197,2546,2543,81,585,19
,Class III,,10092,5790,2084,7874,78,2218,22
,Class IV,,4515,2613,841,3454,77,1061,23
,Total,,21707,11162,6381,17543,81,4164,19
Dhaka,Class I,Doctors,9435,6163,2944,9107,97,328,3
,,Non-doctors,280,93,32,125,45,155,55
,Class II,,8316,644,6773,7417,89,899,11
,Class III,,16658,10066,4138,14204,85,2454,15
,Class IV,,11733,6456,2395,8851,75,2882,25
,Total,,46422,23422,16282,39704,86,6718,14
Khulna,Class I,Doctors,2333,1479,542,2021,87,312,13
,,Non-doctors,46,12,5,17,37,29,63
,Class II,,1937,68,1703,1771,91,166,9
,Class III,,5945,3185,1357,4542,76,1403,24
,Class IV,,2629,1408,586,1994,76,635,24
,Total,,12890,4193,3941,10345,80,2545,20
Rajshahi,Class I,Doctors,2731,1789,667,2456,90,275,10
,,Non-doctors,54,13,6,19,35,35,65
,Class II,,2703,169,2235,2404,89,299,11
,Class III,,6770,4623,1297,5920,87,850,13
,Class IV,,3762,2157,791,2948,78,814,22
,Total,,16020,8751,4996,13747,86,2273,14
Rangpur,Class I,Doctors,2270,1466,558,2024,89,246,11
,,Non-doctors,37,3,2,5,14,32,86
,Class II,,1922,99,1482,1581,82,341,18
,Class III,,5584,3741,1065,4797,86,787,14
,Class IV,,2568,1511,520,2031,79,537,21
,Total,,12381,6820,3618,10438,84,1943,16
