0,1,2,3,4,5,6,7,8,9,10
Division,Name of institute with location,Estd.,Discipline,,,,,,,Total
,,,LAB,"RDL/
RDT",PTY,DENT,PHAR,Other1,Other2,
Dhaka,"National Institute of Medical Technology,
Uttara Model Town, Dhaka",2003,50,0,0,50,50,0,0,150
,"New Lab Institute of Medical Tech, Asad Gate,
Mohammadpur, Dhaka",2005,70,0,0,30,30,0,0,130
,"Prince Institute of Medical Technology, Savar, Dhaka",2008,45,0,0,30,40,0,0,115
,"Prof. Suhrabuddin Institute of Medical Technology,
Sabalia, Tangail",2007,"75
(BSc
In
Lab
50)",0,"25+25
(BSc
in
PTY)","45
(BSc
In Lab
25)",70,"50 (BSc
in Lab)","25 (BSc
in Dent)",315
,"Radiant College of Medical Technology Green Road,
Dhaka",2003,40,0,0,40,0,0,0,80
,"Rumdo Institute of Medical Technology, Boundary
Road, Mymensingh",2007,60,0,0,0,25,0,0,85
,"SAIC Institute of Medical Technology Mirpur, Dhaka","2005&
2008",70,10,25,40,40,0,0,185
,"Shahid SA Memorial Institute of Medical Technology,
Uttara, Dhaka",2007,40,0,0,25,25,0,0,90
,"Shyamoli Ideal Institute of Medical Technology, Dhaka",2010,50,0,50,50,50,0,0,200
,"State University of Bangladesh, Iqbal Road,
Mohammadpur, Dhaka",2008,0,0,0,0,0,0,"50 (Op-
tometry)",50
,"Sumona Institute of Medical Technology, Sadarghat,
Dhaka",2007,50,0,0,30,50,0,0,130
,"Trauma Institute of Medical Technology, Shyamoli,
Dhaka",2008,75,50,0,25,50,75,50,325
,"Christian Institute of Medical Technology, West Tejturi
Bazar, Tejgaon, Dhaka",2010,30,0,0,0,30,0,0,60
,"Rampura Institute of Medical Technology, Rampura,
Dhaka",2010,60,0,0,0,50,0,0,110
,"Central Institute of Health Science (Diploma Course),
Mirpur, Dhaka",2012,25,25,0,0,0,"25 (B.Sc.
in Lab)","25 (B. Sc.
In PTY)",100
,"Dhaka Microlab Institute of Medical Technology,
Shahjadpur, Gulshan, Dhaka",2010,30,0,0,15,30,"40 (B.Sc.
in Lab)","30 (B.Sc.
in Lab)",145
,"National Heart Foundation Hospital & Research
Institute, Mirpur, Dhaka",2013,0,0,0,0,0,"MT
(Cardiol-
ogy) 5","MT(OTA)
5",10
,"J-MATS & Medical Institute, College Road, Jamalpur",2013,40,0,25,25,0,0,0,90
,"Ghurukul Medical Institute, Dokhhin Bhabanipur,
Rajbari",2014,25,0,25,25,0,0,0,75
,"East West Institute of Medical Technology, Turag,
Dhaka",2014,50,50,25,25,50,0,0,150
,"Fulpur Institute of Medical Technology, Fulpur,
Mymensingh",2014,30,0,0,30,30,0,0,90
,"Akonda Institute of Medical Technology, Chorpara,
Mymensingh",2014,25,0,25,25,0,0,0,75
,"Army Medical Core Center & School, Ghatail, Tangail",2013,,,,,,,,1500
,"Rabeya MATS Technology, Savar, Dhaka",2014,25,0,0,25,0,0,0,50
,"Ghatail Medical Assistant Training School, Tangail",2013,75,0,0,0,75,0,0,150
,"International Institute of Medical Technology, Sataish
Tongi, Gazipur",2013,0,0,0,0,0,"BSc (MT
LAB) 40",0,40
,"Lake View Institute of Medical Technology, Faridpur",2013,30,0,0,30,30,0,0,90
,"Institute of Medical Technology, Jalkuri, Narayanganj",2010,25,0,0,15,25,0,0,65
,"Bangladesh Health Professional Institute, CRP,
Chapain, Savar, Dhaka",2013,0,0,0,0,0,"Diploma
in pros-
thetics &
Orthopa-
dics 10",0,10
,"Bhairab Institute of Medical Technology, Kishoreganj",2010,25,0,0,15,25,0,0,65
,"Uttara Crescent Institute of Medical Technology,
Dhaka",2011,25,25,25,25,25,0,0,125
,"Dialab Institute of Medical Technology, Lalbag, Dhaka",2011,25,25,25,0,25,0,0,100
