0,1,2,3,4,5,6,7,8,9,10,11,12
,Type of Institute,,,,,Number,,,,,Seats,
Govt. (Under DNS) Nursing Institute 46 1770,,,,,,,,,,,,
"A.F.M.I, Dhaka Cant. 01 50",,,,,,,,,,,,
Private Nursing Institute 22 575,,,,,,,,,,,,
Nursing Institutes Diploma Course (Total) 69 2395,,,,,,,,,,,,
,,,Nursing Colleges,,,,,,,,,
Govt. Nursing College (Post Basic) Mohakhali (Foreign-5) 1 125,,,,,,,,,,,,
"A. F. M. I, Dhaka Cant. (Basic) 1 25",,,,,,,,,,,,
Govt. Nursing College (Basic) 4 400,,,,,,,,,,,,
Private Nursing College (Basic & Post Basic) No. of Seat 07 215,,,,,,,,,,,,
,Total,,,,,,,,13,,765,
