0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,Development,,,Proposed,,,Bed will,
,Division,,,Hospital,Bed,,Revenue,,,,,,,,,,
,,,,,,,,,,,,,Bed,,,increase,
,,,,,,,,,,,,,,,,,
Sylhet,,,TB Segregated Hospital (S ylhet),,20,,20,,-,,,-,,,-,,
Total: 11 Nos.,,,,,566,,566,,-,,,250,,,250,,
,Leprosy Hospital,,,,,,,,,,,,,,,,
Dhaka,,,"Leprosy Hospital, Mohakhali, Dhaka",,30,,30,,-,,,-,,,-,,
Rajshahi,,,Leprosy Hospital (Nilphamari),,20,,20,,-,,,-,,,-,,
,,,,,,,,,,,,,,,,,
Sylhet,,,Leprosy Hospital (Sylhet),,80,,80,,-,,,-,,,-,,
Total: 3 Nos.,,,,,130,,130,,-,,,-,,,-,,
,Grand Total,,,,20590,,18551,,,"2,039",,,"13,500",,,"6,061",
"Source: Director, Hospital, DGHS, Mohakhali, Dhaka",,,,,,,,,,,,,,,,,
