0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,Admission (N),,,,,,,,,Deaths (N),,,,,,,,,Death Rate
,Hospital,,,,,,,,,,,,,,,,,,,,,
,,,,M,,,F,,,Total,,,M,,,F,,,Total,,,(%)
,,,,,,,,,,,,,,,,,,,,,,
,Postgraduate Institute Hospital,,,,,,,,,,,,,,,,,,,,,
NICVD,,,19916,,,8310,,,28226,,,1760,,,660,,,2420,,,,
NITOR,,,13572,,,2484,,,16056,,,120,,,36,,,156,,,,
NIO,,,1272,,,1392,,,2664,,,0,,,0,,,0,,,,
IMHR,,,715,,,379,,,1094,,,0,,,1,,,1,,,,
Total,,,35475,,,12565,,,48040,,,1880,,,697,,,2577,,,,
,Medical College Hospital,,,,,,,,,,,,,,,,,,,,,
Rangpu r,,,34761,,,29779,,,64540,,,1737,,,1387,,,3124,,,,
Rajshah i,,,43647,,,44635,,,88282,,,1899,,,1978,,,3877,,,,
Barisa l,,,26395,,,25965,,,52360,,,1128,,,1077,,,2205,,,,
Mymensingh,,,44388,,,45638,,,90026,,,2426,,,1951,,,4377,,,,
Sylhet,,,48862,,,52236,,,101098,,,1942,,,1782,,,3724,,,,
Dinajpu r,,,14418,,,26016,,,40434,,,270,,,774,,,1044,,,,
Faridpu r,,,10182,,,13806,,,23988,,,604,,,548,,,1152,,,,
Total,,,222653,,,238075,,,460728,,,10006,,,9497,,,13188,,,,
,General Hospital,,,,,,,,,,,,,,,,,,,,,
SS Hospita l,,,4711,,,3900,,,8611,,,144,,,28,,,172,,,,
Menta l,,,9912,,,252,,,10164,,,1,,,0,,,1,,,,
Tongi labou r,,,2836,,,2540,,,5376,,,22,,,12,,,34,,,,
Total,,,17459,,,6692,,,24151,,,167,,,40,,,207,,,,
,Chest Hospital,,,,,,,,,,,,,,,,,,,,,
Rajshah i,,,266,,,50,,,316,,,14,,,0,,,14,,,,
Khulna,,,540,,,237,,,777,,,35,,,6,,,41,,,,
Sylhet,,,290,,,74,,,364,,,7,,,4,,,11,,,,
Chittagong,,,600,,,198,,,798,,,24,,,12,,,36,,,,
Bogra,,,164,,,42,,,206,,,6,,,2,,,8,,,,
Pabna,,,48,,,9,,,57,,,0,,,2,,,2,,,,
Jessore,,,12,,,6,,,18,,,1,,,0,,,1,,,,
Faridpu r,,,24,,,132,,,156,,,0,,,0,,,0,,,,
B. Baria,,,48,,,60,,,108,,,6,,,2,,,8,,,,
Total,,,1992,,,808,,,2800,,,93,,,28,,,121,,,,
,Leprosy Hospital,,,,,,,,,,,,,,,,,,,,,
Nilphamar i,,,64,,,0,,,64,,,0,,,0,,,0,,,,
Sylhet,,,300,,,50,,,350,,,0,,,1,,,1,,,,
Total,,,364,,,50,,,414,,,0,,,1,,,1,,,,
,Imfectious Disease Hospital,,,,,,,,,,,,,,,,,,,,,
Rajshah i,,,132,,,48,,,180,,,14,,,12,,,26,,,,
Khulna,,,1135,,,1027,,,2162,,,31,,,0,,,31,,,,
Dhaka,,,890,,,614,,,1504,,,84,,,26,,,110,,,,
Total,,,2157,,,1689,,,3846,,,129,,,38,,,167,,,,
