0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,Sl.,,,,,,,,,No. of deaths,,,,,,,,,%of all deaths,,,,,,%due to this diseases,,,,
,,,,ICD-10,,,Disease,,,,,,,,,,,,,,,,,,,,,,
,No.,,,,,,,,,Both sex,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,I61-69,,,Cerebrovascular diseases,,,"2,692",,,"1,520",,,"1,172",,,11,,,12,,,56.5,,,43.5,,
2,,,J12-18,,,Pneumonia (All),,,"2,380",,,"1,372",,,"1,008",,,10,,,11,,,57.6,,,42.4,,
3,,,J95-98,,,Respiratory failure,,,"2,280",,,"1,389",,,891,,,10,,,9,,,60.9,,,39.1,,
4,,,P21,,,Birth asphyxia,,,"1,986",,,"1,185",,,801,,,8.4,,,8.5,,,59.7,,,40.3,,
5,,,T45-62,,,Poisoning by toxic agents,,,"1,823",,,938,,,885,,,7,,,9,,,51.5,,,48.5,,
6,,,I21-25,,,Ischemic heart disease,,,"1,525",,,"1,186",,,339,,,8,,,4,,,77.8,,,22.2,,
7,,,J45-47,,,Asthma,,,930,,,653,,,277,,,5,,,3,,,70.2,,,29.8,,
8,,,I46-51,,,Heart failure,,,812,,,527,,,285,,,4,,,3,,,64.9,,,35.1,,
9,,,A41,,,Other septicaemia,,,739,,,421,,,318,,,3.0,,,3.4,,,57.0,,,43.0,,
10,,,J22-44,,,Lower respiratory diseases,,,691,,,410,,,281,,,3,,,3,,,59.3,,,40.7,,
11,,,G03-05,,,"Encephalitis, meningitis",,,690,,,397,,,293,,,3,,,3,,,57.5,,,42.5,,
12,,,V09-96,,,Road trafic accidents,,,613,,,451,,,162,,,3,,,2,,,73.6,,,26.4,,
13,,,P07,,,"Disorders related to short
gestation and low birth
weight, not elsewhere
classified",,,585,,,337,,,248,,,2.4,,,2.6,,,57.6,,,42.4,,
14,,,S01-T14,,,Injury of head and body,,,428,,,326,,,102,,,2,,,1,,,76.2,,,23.8,,
15,,,A01-09,,,Diarrhoeal diseases,,,421,,,239,,,182,,,2,,,2,,,56.8,,,43.2,,
16,,,R50,,,Fever of unknown origin,,,389,,,207,,,182,,,1.5,,,1.9,,,53.2,,,46.8,,
17,,,I10-15,,,Hypertension heart disease,,,380,,,207,,,173,,,1,,,2,,,54.5,,,45.5,,
18,,,R10,,,Abdominal and pelvic pain,,,350,,,237,,,113,,,1.7,,,1.2,,,67.7,,,32.3,,
19,,,D64,,,Anemias,,,334,,,137,,,197,,,1,,,2,,,41.0,,,59.0,,
20,,,O00-85,,,"Eclampsia and pregnancy
disorders",,,326,,,11,,,315,,,0,,,3,,,3.4,,,96.6,,
21,,,R57,,,"Shock, not elsewhere
classified",,,313,,,158,,,155,,,1.1,,,1.6,,,50.5,,,49.5,,
22,,,B50,,,"Plasmodium falciparum
malaria",,,255,,,138,,,117,,,1.0,,,1.2,,,54.1,,,45.9,,
23,,,A33-35,,,Tetanus all,,,248,,,177,,,71,,,1,,,1,,,71.4,,,28.6,,
24,,,R56,,,"Convulsions, not elsewhere
classified",,,225,,,122,,,103,,,0.9,,,1.1,,,54.2,,,45.8,,
25,,,R17-18,,,Unspecified jaundice,,,213,,,136,,,77,,,1,,,1,,,63.8,,,36.2,,
26,,,R40,,,"Somnolence, stupor and
coma",,,174,,,108,,,66,,,0.8,,,0.7,,,62.1,,,37.9,,
27,,,J82,,,"Pulmonary eosinophilia, not
elsewhere classified",,,173,,,135,,,38,,,1.0,,,0.4,,,78.0,,,22.0,,
28,,,K55-59,,,Intestinal disorders,,,160,,,104,,,56,,,1,,,1,,,65.0,,,35.0,,
29,,,B55,,,Leishmaniasis,,,133,,,79,,,54,,,0.6,,,0.6,,,59.4,,,40.6,,
30,,,C15-77,,,Malignant neoplasm (All),,,133,,,94,,,39,,,1,,,0,,,70.7,,,29.3,,
31,,,T20-22,,,Burn and corrosion,,,126,,,40,,,86,,,0,,,1,,,31.7,,,68.3,,
32,,,A15-18,,,Tuberculosis of all organs,,,102,,,74,,,28,,,1,,,0,,,72.5,,,27.5,,
33,,,R07,,,Pain in throat and chest,,,100,,,70,,,30,,,0.5,,,0.3,,,70.0,,,30.0,,
34,,,E40-46,,,Malnutrition,,,96,,,53,,,43,,,0,,,0,,,55.2,,,44.8,,
35,,,P36,,,Bacterial sepsis of newborn,,,86,,,43,,,43,,,0.3,,,0.5,,,50.0,,,50.0,,
36,,,N04-45,,,"Renal failure and renal
diseases",,,82,,,49,,,33,,,0,,,0,,,59.8,,,40.2,,
37,,,R06,,,Abnormalities of breathing,,,75,,,51,,,24,,,0.4,,,0.3,,,68.0,,,32.0,,
38,,,K27,,,"Peptic ulcer, site
unspecified",,,58,,,43,,,15,,,0.3,,,0.2,,,74.1,,,25.9,,
39,,,A82-B18,,,"Viral diseases (chicken pox,
measles, hepatitis)",,,44,,,27,,,17,,,0,,,0,,,61.4,,,38.6,,
40,,,E11-14,,,Diabetes mellitus,,,44,,,23,,,21,,,0,,,0,,,52.3,,,47.7,,
,,,,,,Total,,,"23,604",,,"14,113",,,"9,491",,,100,,,100,,,59.8,,,40.2,,
