0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2003,,,,,,,,,2004,,,,,,,2005,,,,,,,,,2006,,,,,,,2007,,,,,,,,,Total,,,,,,,
,Medical or Dental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M,,,F,,,T,,,M,F,,,T,,,M,,,F,,,T,,,M,,,F,T,,,M,,,F,,,T,,,M,,,F,,,T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka Medical College,,,84,,,66,,,150,,,82,,79,,161,,,94,,,69,,,163,,,111,,,73,,184,,94,,,93,,,187,,,465,,,380,,,845,,
"Sir Salimullah Medical
College",,,78,,,79,,,157,,,80,,78,,158,,,93,,,68,,,161,,,104,,,82,,186,,86,,,91,,,178,,,441,,,398,,,840,,
"Rajshahi Medical
College",,,102,,,60,,,162,,,82,,76,,158,,,85,,,70,,,155,,,112,,,67,,179,,107,,,71,,,178,,,488,,,344,,,832,,
"Rangpur Medical
College",,,96,,,57,,,153,,,68,,85,,153,,,67,,,89,,,156,,,91,,,87,,178,,88,,,90,,,178,,,410,,,408,,,818,,
"Mymensingh Medical
College",,,79,,,74,,,153,,,71,,89,,160,,,89,,,70,,,159,,,97,,,85,,182,,110,,,68,,,178,,,446,,,386,,,832,,
"Chittagong Medical
College",,,96,,,58,,,154,,,80,,77,,157,,,96,,,62,,,158,,,100,,,86,,186,,101,,,82,,,183,,,473,,,365,,,838,,
"MAG Osmani Medical
College",,,93,,,69,,,162,,,93,,61,,154,,,89,,,66,,,155,,,104,,,84,,188,,87,,,92,,,179,,,466,,,372,,,838,,
"Shere Bangla Medical
College",,,86,,,70,,,156,,,90,,63,,153,,,84,,,70,,,154,,,105,,,79,,184,,110,,,68,,,178,,,475,,,350,,,825,,
"Faridpur Medical
College",,,29,,,22,,,51,,,25,,24,,49,,,28,,,21,,,49,,,51,,,51,,102,,53,,,50,,,103,,,186,,,168,,,354,,
"Begum Khaleda Zia
Medical College",,,33,,,23,,,56,,,20,,37,,57,,,56,,,45,,,101,,,65,,,45,,110,,51,,,51,,,102,,,225,,,201,,,426,,
"Dinajpur Medical
College",,,26,,,24,,,50,,,23,,28,,51,,,21,,,33,,,54,,,56,,,53,,109,,66,,,57,,,123,,,192,,,195,,,387,,
Khulna Medical College,,,32,,,18,,,50,,,27,,29,,56,,,26,,,30,,,56,,,66,,,42,,108,,69,,,63,,,132,,,220,,,182,,,402,,
Comilla Medical College,,,27,,,28,,,55,,,36,,21,,57,,,44,,,63,,,107,,,44,,,63,,107,,48,,,59,,,107,,,199,,,234,,,433,,
Dhaka Dental College,,,26,,,39,,,65,,,35,,33,,68,,,58,,,40,,,98,,,61,,,83,,144,,55,,,83,,,138,,,235,,,278,,,513,,
"Chittagong Dental
College",,,8,,,11,,,19,,,5,,13,,18,,,19,,,23,,,42,,,-,,,-,,-,,-,,,-,,,-,,,32,,,47,,,79,,
Rajshahi Dental College,,,7,,,12,,,19,,,7,,10,,17,,,18,,,23,,,41,,,-,,,-,,-,,-,,,-,,,-,,,32,,,45,,,77,,
