0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
".oN
.lS",,"fo
leveL",snoitutitsnI,,,".latipsoh
fo
.oN",,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roodtuO,ecnadnetta,
,,,,,,,,"eht
fo
sdeb
fo
.oN",slatipsoh,,"stneitap
fo
.oN",dettimdA,,"stneitap
fo
.oN",deid,,"stneitap
fo
.oN",egrahcsid,,,"tneitap
fo
.oN",syad,,,"ycnapucco
deB",")%(
etar",,,"htaed
latipsoH",")%(
etar",,,"noitarud
egarevA","yats
fo",,,,,
1,"Post Graduate
Hospital",,,,3,,,850,,42574,,,,1974,,40125,,,,324600,,,,104.63,,,,4.64,,,,7.71,,,,239512,,,
2,"Medical College
Hospital",,,,10,,,5550,,354759,,,,16949,,336799,,,,2162023,,,,106.73,,,,4.78,,,,6.11,,,,2380618,,,
3,Mental Hospital,,,,1,,,400,,532,,,,14,,478,,,,81440,,,,55.78,,,,2.93,,,,170.40,,,,5742,,,
4,"Institute of Mental
Health",,,,1,,,150,,1080,,,,2,,1039,,,,30867,,,,56.38,,,,0.19,,,,30.00,,,,12672,,,
5,"Chest Clinics & Chest
Hospital",,,,3,,,256,,1412,,,,80,,1262,,,,64068,,,,43.23,,,,6.29,,,,50.80,,,,,,,
6,"Chest Clinics & Chest
Hospital",,,,4,,,80,,425,,,,4,,352,,,,20630,,,,70.65,,,,1.13,,,,58.00,,,,,,,
7,Leprosy Hospital,,,,3,,,130,,451,,,,1,,447,,,,20844,,,,43.93,,,,0.16,,,,47.00,,,,8861,,,
8,"Infectious Disease
Hospital",,,,3,,,140,,5464,,,,247,,5207,,,,24797,,,,48.52,,,,4.80,,,,9.45,,,,,,,
9,"250-beded District
Hospital",,,,2,,,500,,35232,,,,1274,,33262,,,,145354,,,,53.10,,,,3.83,,,,4.00,,,,136494,,,
10,200-beded dist. hospital,,,,2,,,400,,12179,,,,400,,11722,,,,53136,,,,36.39,,,,3.41,,,,5.00,,,,208435,,,
11,"150-beded District
Hospital",,,,4,,,600,,36813,,,,1487,,33415,,,,190231,,,,86.86,,,,3.78,,,,6.00,,,,303817,,,
12,"120-beded District
Hospital",,,,1,,,120,,24736,,,,960,,23648,,,,64340,,,,146.39,,,,4.06,,,,3.00,,,,190878,,,
13,"100-beded District
Hospital",,,,35,,,3500,,336335,,,,10455,,319382,,,,1223271,,,,97.76,,,,3.31,,,,4.00,,,,2706713,,,
14,"Upazila Health
Complex",,,,320,,,9920,,1013942,,,,14274,,954070,,,,2917412,,,,80.90,,,,1.50,,,,3.00,,,,18816644,,,
15,School Health Clinic,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97379,,,
16,Urban Dispensaries,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348128,,,
17,Union Sub Center,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15818651,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40764943,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
