0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Morbidity Profile (Disease profile) of Hospitals, 2005 (Contd.)",,,,,,,,,,,,,
Sl,Name of Diseases,0-11 Month,,1- 4 Year,,5-14 Year,,15 - 49 Year,,50+,,,
,,,,,,,,,,,,Total,%
,,,,,,,,,,,,,
No,,M,F,M,F,M,F,M,F,M,F,,
7,Malnutrition,20930,24381,61278,69435,89329,121835,91384,103928,115970,147860,846330,4.99
8,PUO,24949,28260,55198,58515,88923,131488,101685,96412,148630,106709,840769,4.95
9,Injury,3541,3717,30999,29295,85701,196637,92999,68085,127786,72877,711637,4.19
10,Dental Disease,0,0,13888,15270,52911,108088,81625,58764,121148,82546,534240,3.15
11,Conjunctivitis,7271,8536,25923,29219,48567,83619,68459,53156,86912,71252,482914,2.85
12,Gynaecological Problem,0,15,0,81,0,6049,0,351511,0,121762,479418,2.82
13,Ear Infection,7160,8355,26475,29939,48148,72867,59036,52393,78420,60887,443680,2.61
14,Asthma,1375,1720,7666,8664,21080,64411,72886,25656,71557,71341,346356,2.04
15,RTI/STD,0,0,210,283,833,1419,67696,37687,29571,22464,160163,0.94
16,High Blood Pressure,0,0,31,34,1149,927,39443,36288,37671,34317,149860,0.88
17,Malaria,1673,2123,7441,8468,14467,26405,12063,15619,30822,12545,131626,0.78
18,Diabetes,88,108,136,165,819,8183,10498,1218,8526,10338,40079,0.24
19,Tuberculosis,37,46,138,137,836,11714,7107,1134,7536,2883,31568,0.19
20,Jaundice,495,434,986,1168,2639,4403,2886,2796,3887,2674,22368,0.13
21,Poisoning,23,21,301,256,1174,4130,1511,1259,3306,1226,13207,0.08
22,Night Blindness,1,17,1763,1989,1353,1775,1071,1116,753,776,10614,0.06
23,Cancer,14,18,89,80,917,762,1447,981,1853,1333,7494,0.04
24,Goiter,6,14,108,197,453,786,641,626,919,785,4535,0.03
25,Measles,117,134,448,413,545,428,342,524,170,103,3224,0.02
26,Chicken Pox,72,79,334,309,546,493,235,542,365,142,3117,0.02
27,Rheumatic Heart Disease,0,0,0,0,796,755,492,519,316,218,3096,0.02
28,Heart Attack,0,0,0,0,0,0,662,496,558,454,2170,0.01
29,Kala-azar,0,2,135,117,276,413,246,297,243,71,1800,0.01
30,Leprosy,1,1,10,24,104,656,106,92,517,84,1595,0.01
31,Filariasis,7,12,25,86,109,299,259,107,244,198,1346,0.01
32,Whooping Cough,39,25,78,90,39,31,0,0,0,0,302,0.00
33,Tetanus (excluding Neonatal),2,2,2,3,4,22,25,2,21,16,99,0.00
34,Acute Flaccid Paralysis,1,2,2,1,6,7,7,6,9,9,50,0.00
35,Tetanus Neonatal,21,19,0,0,0,0,0,0,0,0,40,0.00
36,Diphtheria,0,1,4,6,7,8,0,0,0,0,26,0.00
37,Others,64629,73395,123298,135277,205231,354133,259557,222721,410921,278506,2127668,12.53
,,,,,,,,,,,,,
,Total :,354222,403407,960548,1008455,1506822,2654125,2156821,2397657,3226611,2305164,16973832,
,,,,,,,,,,,,,
