0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Bed Occupancy
Level (in
Percentage)",,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,2002,,,,,2003,,,,,,2004,,,,,2005,,,,,
,,,,No.,,,%,,,No.,,,%,,No.,,,%,,,No.,,%,,,No.,,,%,
Below 50%,,,0,,,0.00,,,2,,,4.35,,4,,,8.70,,,5,,,10.87,,2,,,4.17,,
50.01 – 70.00,,,4,,,8.89,,,3,,,6.52,,3,,,6.52,,,8,,,17.39,,8,,,16.67,,
70.01 – 80.00,,,4,,,8.89,,,4,,,8.70,,4,,,8.70,,,6,,,13.04,,4,,,8.33,,
80.01 – 90.00,,,5,,,11.11,,,9,,,19.57,,5,,,10.87,,,7,,,15.22,,4,,,8.33,,
90.01 – 100.00,,,2,,,4.44,,,6,,,13.04,,4,,,8.70,,,1,,,2.17,,4,,,8.33,,
100.01 – 110.00,,,3,,,6.67,,,6,,,13.04,,1,,,2.17,,,7,,,15.22,,6,,,12.50,,
110.01 – 120.00,,,3,,,6.67,,,3,,,6.52,,4,,,8.70,,,2,,,4.35,,5,,,8.33,,
120.01 – 130.00,,,1,,,2.22,,,4,,,8.70,,4,,,8.70,,,0,,,0.00,,3,,,6.25,,
130.01 - 140.00,,,4,,,8.89,,,1,,,2.17,,3,,,6.52,,,5,,,10.87,,2,,,4.17,,
Above 140%,,,19,,,42.22,,,8,,,17.39,,14,,,30.43,,,5,,,10.87,,11,,,22.92,,
,Total no. of,,45,,,100.00,,,45,,,100.00,,46,,,100.00,,,46,,,100.00,,49,,,100.00,,
,District Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
