0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,noitalupoP,,No Pneumonia,,,Pneumonia,,,Sev. Pneumonia,,,Very Sev.disease,,,Total ARI,,,
Year,,,,,,,,,Sub-,,,Sub-,,,Sub-,,,Incidence,Case
,,,,0-11m,1-4Yrs,Sub-Total,2-11m,1-4Yrs,Total,0-11m,1-4 Yrs,Total,0-11m,1-4 Yrs,Total,Attack,Death,Rate,Fatality
,,,,,,,,,,,,,,,,,,,Rate
,,,,,,,,,,,,,,,,,,,
2001,17316078,,,599970,997741,1597711,141980,221229,363209,41509,31591,73100,12481,9415,21896,2055916,4502,11.87,0.22
2002,17483471,,,842091,1253612,2095703,170823,197440,368263,63953,36218,100171,20291,10152,30443,2594580,4730,14.84,0.18
2003,17568193,,,469638,707957,1177595,86388,96070,182458,37331,22659,59990,19616,16897,36513,1456556,4043,8.29,0.28
2004,17636656,,,582667,837496,1420163,119806,120756,240562,51488,27969,79457,17777,8632,26409,1766591,4186,10.02,0.24
2005,17943503,,,521857,775558,1297415,97228,116303,213531,34460,23838,58298,611355,7091,618446,2187690,2380,12.19,0.11
