0,1,2,3,4,5,6,7
Sl.,,Size of,Year,,,,
,Fluid items,,,,,,
No.,,pack (ml),2001,2002,2003,2004,2005
,,,,,,,
1,Glucose Saline,1000,101956,66780,39735,80904,81238
,,500,406246,3497,243610,241043,221026
2,Glucose Aqua,1000,89894,56055,42569,84455,72429
,,500,411722,333213,248265,233086,211607
3,Normal Saline,1000,886,9291,17662,9783,17930
,,500,45831,77319,68492,50536,52518
4,Cholera Saline,1000,79291,118519,129986,192907,10409
,,500,213599,308536,246718,472545,280402
5,P.D. Fluid,1000,117370,93384,57657,68421,53666
,,500,-,20278,-,-,-
6,3% Normal Saline,1000,-,-,-,-,-
,,500,3890,5022,5107,4578,6888
7,Baby Saline,1000,-,-,-,-,-
,,500,7224,6717,4689,14307,8245
8,Haemodialysis Fluid,1000,42220,33510,14200,21100,20650
,,500,-,-,-,-,-
9,Hartman’s Solution,1000,-,-,-,-,-
,,500,-,31694,42710,47520,70676
