0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Cox's Bazar District,,,
,Moheshkhali,,Chakaria,
,1,"Kalarmarchara USC, Moheshkhali, Cox's Bazar",7,"Badarkhali USC, Chakaria , Cox's Bazar"
,Ramu,,8,"Bara Bakia USC, Chakaria , Cox's Bazar"
,2,"Fatekarkul Union Sub Center , Ramu , Cox's Bazar",9,"Harbhang Union Sub Center , Chakaria , Cox's Bazar"
,3,"Garjania Union Sub Center , Ramu , Cox's Bazar",,
,Teknaf,,Ukhyia,
,4,"Hinlla Union Sub Center , Teknaf , Cox's Bazar",10,"Balukhali(palogkhal) USC, Ukhyia , Cox's Bazar"
,5,"St. Martin Union Sub Center , Teknaf , Cox's Bazar",11,"Haladia Palong USC, Ukhyia , Cox's Bazar"
,Coxs Bazar Sadar,,12,"Inani(jaliapalong) USC, Ukhyia , Cox's Bazar"
,6,"Eidgaon Union Sub Center , Sadar , Coxs Bazar",13,"Ukhyia T.D. Union Sub Center , Ukhyia , Coxs Bazar"
,Rangamati District,,,
,Langadu,,Naniarchar,
,1,"Bhaibon Chari Union Sub Center, Langadu, Rangamati",7,"Bogachari USC, Naniarchar , Rangamati"
,2,"Yearing Chari Union Sub Center , Langadu , Rangamati",Belaichari,
,Kowkhali,,8,"Kangrachhari USC, Belaichari , Rangamati"
,3,"Shial Bukkha Union Sub Center , Kowkhali, Rangamati",Rajstali,
,Barkol,,9,"Bangal Halia Union Sub Center , Rajstali , Rangamati"
,4,"Barunachari Union Sub Center , Barkol , Rangamati",Bagaichari,
,5,"Kalabunia Union Sub Center , Barkol , Rangamati",10,"Kachalong USC, Bagaichari , Rangamati"
,Jhuraichari,,11,"Machalong USC, Bagaichari , Rangamati"
,6,"Subalang Union Sub Center , Jhuraichari , Rangamati",,
,Bandarban District,,,
,Nykongchari,,,
,1,"Baishari Union Sub Center , Nykongchari , Bandarban",,
,Khagrachari District,,,
,Mohalchari,,Dighinala,
,1,"Maischhari Union Sub Center, Mohalchari, Khagrachari",6,"Babuchara USC, Dighinala , Khagrachari"
,2,"Sindukchari USC, Mohalchari, Khagrachari",7,"Chotto Merung USC, Dighinala , Khagrachari"
,Panchari,,8,"Jarul Chari USC, Dighinala , Khagrachari"
,3,"Ultachari Union Sub Center , Panchari , Khagrachari",Matiranga,
,Ramgarh,,9,"Alutila Union Sub Center , Matiranga , Khagrachari"
,4,"Nakapa(guimara) USC , Ramgarh , Khagrachari",10,"Gowrangapara USC, Matiranga , Khagrachari"
,Laxmichari,,11,"Guimara Union Sub Center , Matiranga , Khagrachari"
,5,"Mayor Khil(Laxmichari) USC, Laxmichari, Khagrachari",,
,Comilla District,,,
,,Laksham,,Debidwar
,1,"Bagmara Union Sub Center , Laksham , Comilla",13,"Alahabad Union Sub Center , Debidwar , Comilla"
,2,"Bipulsar Union Sub Center , Laksham , Comilla",14,"Dhamti Union Sub Center , Debidwar , Comilla"
,3,"Bushe Bazar UH&FWC, Laksham , Comilla",15,"Gopalnagar Union Sub Center , Debidwar , Comilla"
,4,"Laksam Union Sub Center , Laksham , Comilla",,Daudkandi
,5,"Monoharganj Union Sub Center , Laksam , Comilla",16,"Asmania Union Sub Center , Daudkandi , Comilla"
,6,"Mudafarganj UH&FWC, Laksham , Comilla",17,"Batakandi Union Sub Center , Daudkandi , Comilla"
,7,"Narapati UH&FWC, Laksham , Comilla",18,"Daudkandi Union Sub Center , Daudkandi , Comilla"
,8,"Natherpetua Union Sub Center , Laksham , Comilla",19,"Elliotgonj Union Sub Center , Daudkandi , Comilla"
,,Nangolkot,20,"Gouripur Union Sub Center , Daudkandi , Comilla"
,9,"Bangodda Union Sub Center , Nangolkot , Comilla",21,"Mazidpur Union Sub Center , Daudkandi , Comilla"
,10,"Bokhganj Union Sub Center , Nangolkot , Comilla",22,"Mohammedpur USC, Daudkandi , Comilla"
,11,"Dolkhar Union Sub Center , Nangolkot , Comilla",23,"Panchgachia Union Sub Center , Daudkandi , Comilla"
,12,"Jodda Union Sub Center , Nangolkot , Comilla",24,"Swapara Union Sub Center , Daudkandi , Comilla"
