0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sl No.,,,Name of Institution & Location,,,No. of X-Ray Machine,,,,,,,,,,,,,,,,,
,,,,,,Total,,,"Servicable
(mA)",,,Unservicable (mA),,,"Repairable
(mA)",,,,Non-,,Remarks,,
,,,,,,,,,,,,,,,,,,,repairable,,,,
,,,,,,,,,,,,,,,,,,,(mA),,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,
1,,,"Dhaka Medical College Hospital,
Dhaka",,,11,,,"5
(800MA-1,
500MA-3,
300MA-1)",,,6,,,6,,,--,,,,,
2,,,"Sir Salimullah Medical College
Hospital, Dhaka",,,12,,,"2
500(M.A)-1
300(M.A)-1",,,"10
500(M.A)-3, 200(M.A)-1
100(M.A)-2
20(M.A)-2",,,6,,,4,,,,,
3,,,"Dhaka Dental College Hospital,
Dhaka",,,5,,,"2
300(M.A)-2",,,"3
500(M.A)-1
300(M.A)-2",,,1,,,2,,,,,
4,,,"Homiopathic Degree College &
Hospital",,,1,,,,,,500 M.A - 1,,,"500 M.A -
1",,,,,,,,
5,,,Mymensing Medical College Hospital,,,16,,,"7
500(M.A)-3
300 M.A - 1
150(M.A)-1
20(M.A)-2",,,"9
800(M.A)-1, 500(M.A) 1,
300(M.A)-2,
250(M.A)-1
150(M.A)-1
20(M.A)-2
Dental -1",,,"3
300-1
150- 1
20 -1",,,"6
800-1
500-1
300-1
250-1
20-1
Dental-1",,,"Unservicable (6) -
Authority declared it
invalid on 25/06/04
on recommendation
by NEMEO Engineer",,
6,,,Faridpur Medical College Hospital,,,1,,,"1
500(M.A)-1",,,-,,,--,,,--,,,,,
7,,,Chittagong Medical College Hospital,,,11,,,"6
500(M.A)-2
100(M.A)-1
70(M.A)-1
20(M.A)-2",,,"5
1000 (M.A)-1
500(M.A)-1
150(M.A)-1
100(M.A)-2",,,2,,,3,,,,,
8,,,Comilla Medical College Hospital,,,4,,,1,,,3,,,3,,,--,,,--,,
