0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sl No.,,,Name of District,,,Total,,,Functioning,,,,Non-,,Repairable,,,,Non-,
,,,,,,,,,,,,,Functioning,,,,,,Repairable,
,1,,,2,,,3,,,4,,,5,,,6,,,7,
Dhaka Division,,,,,,,,,,,,,,,,,,,,
1,,,Tangail,,,13,,,4,,,4,,,4,,,0,,
2,,,Dhaka,,,4,,,2,,,2,,,2,,,0,,
3,,,Manikganj,,,6,,,5,,,1,,,1,,,0,,
4,,,Narayanganj,,,5,,,2,,,3,,,2,,,1,,
5,,,Narsingdi,,,5,,,4,,,1,,,1,,,0,,
6,,,Munshiganj,,,6,,,5,,,1,,,1,,,0,,
7,,,Gazipur,,,4,,,3,,,1,,,1,,,0,,
8,,,Mymensingh,,,12,,,10,,,2,,,2,,,0,,
9,,,Kishoreganj,,,14,,,9,,,5,,,3,,,2,,
10,,,Netrokona,,,8,,,2,,,6,,,6,,,0,,
11,,,Faridpur,,,9,,,6,,,3,,,1,,,2,,
12,,,Gopalganj,,,4,,,4,,,0,,,0,,,0,,
13,,,Madaripur,,,5,,,2,,,3,,,2,,,1,,
14,,,Shariatpur,,,6,,,5,,,1,,,1,,,0,,
15,,,Rajbari,,,4,,,3,,,1,,,0,,,1,,
16,,,Jamalpur,,,9,,,5,,,4,,,2,,,2,,
17,,,Sherpur,,,6,,,5,,,1,,,1,,,0,,
,Total,,,,,,120,,,76,,,39,,,30,,,9,
Sylhet Division,,,,,,,,,,,,,,,,,,,,
1,,,Sylhet,,,11,,,10,,,1,,,1,,,0,,
2,,,Sunamganj,,,10,,,9,,,1,,,1,,,0,,
3,,,M.bazar,,,6,,,5,,,1,,,1,,,0,,
4,,,Hobigonj,,,9,,,6,,,3,,,2,,,1,,
,Total,,,,,,36,,,30,,,6,,,5,,,1,
Chittagong Division,,,,,,,,,,,,,,,,,,,,
1,,,Comilla,,,22,,,12,,,10,,,9,,,1,,
2,,,Chandpur,,,11,,,8,,,3,,,2,,,1,,
3,,,B. Baria,,,8,,,6,,,2,,,2,,,0,,
4,,,Noakhali,,,7,,,6,,,1,,,1,,,0,,
5,,,Laxmipur,,,5,,,3,,,2,,,2,,,0,,
6,,,Feni,,,9,,,6,,,3,,,2,,,1,,
7,,,Chittagong,,,18,,,15,,,3,,,2,,,1,,
8,,,Coxs Bazar,,,5,,,5,,,0,,,0,,,0,,
9,,,Khagrachari,,,11,,,7,,,4,,,4,,,0,,
10,,,Rangamati,,,2,,,2,,,0,,,0,,,0,,
11,,,Bandarban,,,7,,,7,,,0,,,0,,,0,,
,Total,,,,,,105,,,77,,,28,,,24,,,4,
Khulna Division,,,,,,,,,,,,,,,,,,,,
1,,,Kushtia,,,6,,,6,,,0,,,0,,,0,,
2,,,Chuadanga,,,4,,,3,,,1,,,0,,,1,,
