0,1,2,3,4,5,6
Regulation,Brief Description,,,"Implications to the
Project","Responsible
Agency","Compliance
Status"
"Bangladesh National
Building Code 2006","Sets minimum standards for design,
construction, quality of materials, use and
occupancy, location, and maintenance of
all buildings to safeguard, within
achievable limits, life, limb, health,
property and public welfare",,,"Design of upgrading the
existing health facilities,
medical colleges,
IEDCR, and BITID are
complying with relevant
requirements and
specifications","Ministry of
Housing and
Public Works
(MHPW)","Being
Complied"
"Bangladesh Building
Construction Rules
2008","• These rules seek to control
development plot‐by‐plot and case‐
by‐case. It controls development by
imposing conditions on set-backs, site
coverage, construction of garages,
access to plot, provision of lift, land
use of that particular plot and height of
building.
• Regulates technical details of building
construction and to maintain standards
of building construction",,,"Construction works are
complying with relevant
provisions, standards,
and specifications has
been prepared to
ensure structural
integrity of existing
facilities with upgrading","MHPW and its
relevant
agencies","Being
Complied"
"Bangladesh Factory
Act 2006","The Act requires every workplace
including small- or large-scale
construction where women are employed
to have an arrangement of childcare
services. Based on this Act and Labor
Laws - medical facilities, first aid and
accident and emergency arrangements
are to be provided by the authority to the
workers at workplaces.",,,"Contractors are
providing first aid and
emergency
arrangements for the
workers during
construction works and
costs are given in EMP
as well as bid document","Ministry of
Labor","Being
Complied"
"Local Government
(Pourashava) Act
2009 and the Local
Government (City
Corporation) Act
2009",,• Provides guidance for integrated,,"Coordinate with
Pourashava
committees on disaster
management
measures, water and
sanitation, and waste
management.","Local
Government
Division","Yet not
required but
will be
applicable if
necessary"
,,community and workers health and,,,,
,,"hygiene at the construction, and",,,,
,,operation and maintenance stages of,,,,
,,the project,,,,
,,• Pourashava wide responsibilities in,,,,
,,"town planning and development,",,,,
,,"public health and sanitation, water",,,,
,,"supply and sewage disposal,",,,,
,,maintenance of public infrastructure,,,,
,,and amenities.,,,,
