0,1,2,3,4
Package/Lot,"Final IEE/EMP Provided
to Contractor (Yes/No)","Disclosed
on DGHS/project
website","Site-specific EMP
Approved by PIU
(Yes/No)",Disclosure Link
,,,,"69e61/2023-11-02-07-08-
795a95aa8e9538a50b69250eeb19828a.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-19-
530ec431475a4862e1d27981996512d9.pdf"
"Shaheed Suhrawardy Medical College Hospital, Dhaka",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-09-
b749b689a696a0bc93a706076db71bcf.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-18-
d9f30c06e5b3c3042e7649feac063625.pdf"
"Mymensingh Medical College Hospital, Mymensingh",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-05-
3384a2bd2fa8f3a36da6f97b407d258b.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-15-
5de7a452373d65f2653a1a9d27a9b332.pdf"
"Faridpur Medical College Hospital, Faridpur",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-02-
420cbddcd8b15cd5a1808c336118e80d.pdf"
"Cumilla Medical College Hospital, Cumilla",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-01-
433fe0c5b2752a564ac5ab68358fd652.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-12-
2af039c4465bbd154d342f890f1ccdf3.pdf"
"Khulna Medical College, Khulna",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-03-
7c3c46532704febbe93fdd4968615ce1.pdf"
