0,1,2,3,4,5,6,7,8,9,10,11,12
IEC,,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,Responsibility,,
,,,,"Method of Collecting
and Reporting Data",,,Location,,Implementation,,Supervision,
,,,,,,,and,,,,,
,,,,,,,Frequency,,,,,
,PRE-CONSTRUCTION PHASE,,,,,,,,,,,
"Obtaining of
SSC/NOCs/ECC",,"• Failure to obtain
necessary consents,
permits, NOC’s can result
in design revisions and/or
stoppage of the Works","• The proposed medical centre will be constructed in BLPA own empty land,
and it is within the boundary of its administrative area.
• The BLPA has already issued a NOC to the DGHS/Project to construct the
facility.",• Record of NOC,,"Before
design
confirmation",,,PIU,,DGHS,
Existing Utilities,,"• Disruption of services
(short term).","• Drawing from the consultant’s visit, there was no utility or services found at
the selected location. However, some lamp posts were observed along the
boundary wall but those will not be impacted due to the construction.
• There is no vegetation within the proposed site, but 4-6 small trees are found
along the boundary wall and those will not be impacted during construction.
In addition, there is no water body nearby sub-project site. No impact is
expected on flora and fauna.
• If construction work is expected to disrupt the lamp posts and vegetations,
notice to the respective authority shall be served 7 days in advance and again
1 day prior to start of construction.","• Record of request letter
and approval",,"Before
construction",,,PIU,,DGHS,
CEMP Verification,,"• Mitigation will be
inadequate if the CEMP
is not fully specified","• Review CEMP to ensure all primary contractor responsibilities are fully
reflected, including monitoring and reporting",• Approval of CEMP,,"Before
construction",,,PIU/ES,,DGHS,
Sources of Materials,,"• Extraction of materials
can disrupt natural land
contours and vegetation
resulting in accelerated
erosion, disturbance in
natural drainage patterns,
ponding and water
logging, and water
pollution.","• Prepare list of approved quarry sites and sources of materials
• Select authorized supplier prior to sourcing the materials
• Sand/silt material that only quarries duly licensed by the authorized
government agencies will be considered as sources of construction material
for the project.
• Illegal quarries and hill cutting is not permitted at all.",• Approval of the supplier,,"Before
construction",,,PIU/ES,,DGHS,
"EMP Implementation
Training",,"• Irreversible impact to the
environment, contactor
representative/workers,
PWD/PIU officials","• Training will be required to undergo EMP implementation including waste
management, Standard operating procedures (SOP) for construction works;
health and safety (H&S), core labor laws, applicable environmental laws, etc.",• Record of training,,"Before
construction",,,PIU/ES,,DGHS,
