0,1,2,3,4,5,6,7
SI. No,,Name of Medical,,Isolation Unit (50 bed),ICU/CCU (10 bed),PCR Lab,Remarks
,,College Hospital,,,,,
1,2,,,3,4,5,6
1,"Dhaka Medical
College Hospital,
Dhaka",,,"Vertical extension
needed of emergency
unit of DMCH with
approx. area of 11000
sft.","Floor available at the
2nd floor of DMCH-2.
Renovation needed.
(area 2800 sft","New Lab in
Hospital needed,
Space available","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 3"
2,"Sir Salimullah
Medical College &
Mitford Hospital,
Dhaka.",,,"Can be provided by renovation of 4th floor of OPD
bldg (11500 sft) for 50 bed Isolation unit & 10 bed
ICU.",,"One PCR lab is
functioning
properly. no further
requirement","PCR: Phase 3
ICU-Phase 1
Isolation-Phase 1"
3,"Mugda 500 bed
General Hospital,
Dhaka.",,,"It is recommended to set up Isolation
unit/ICU/CCU in the vertical extension portion of
Kitchen block after renovation work.",,"PCR Lab in
running, no further
demand.
Immunological and
molecular methods
may be
introduced, Space
available. Experts
available.","PCR: Phase 2
ICU-Phase 1?
Isolation-Phase 1?"
4,"Shaheed
Suhrawardi Medical
College Hospital.",,,"Renovation/Refurbishme
nt needed in the 3rd floor
of Hospital bldg.
Construction of new
Toilet block is required.","Space available.
Renovation/
Refurbishment needed
in the 2nd floor of
Hospital bldg.","PCR lab available.
Space available.
Renovation/
Refurbishment
needed for setup
of PCR Lab.
Experts available.","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 1"
5,"Rajshahi Medical
College Hospital,
Rajshahi",,,"New construction needed. Vertical extension of
modernization bldg (One floor of 44000 sft) is
recommended.
Floor space available for 50 bedded isolation
centre and 10 bedded CCU which can be handed
over immediately.",,"Microbiology lab
exists;
Not required new
one;","PCR: Phase 3
ICU-Phase 1?
Isolation-Phase 1?"
6,"Khula Medical
College Hospital",,,"New construction required for setting up of
Isolation unit/ICU/CCU. Vertical extension of
existing ICU bldg from 2nd floor to 5th floor is
recommended.",,"No PCR Lab. New
Lab in Hospital
needed, Space not
available. No
expert to operate.","PCR: Phase 3
ICU-Phase 3
Isolation-Phase 3"
7,"M. Abdur Rahim
Medical College
Hospital, Dinajpur",,,"No available space in the existing Hospital Bldg.
for setting up of Isolation unit/ICU/CCU. New
construction is required.",,"New Lab in
Hospital needed,
Space available.
No expert to
operate.","PCR: Phase 1
ICU-Phase 3
Isolation-Phase 3"
8,"Mymensing Medical
College Hospital",,,"Present new bldg.
renovation needed in
2nd, 3rd 4th floor for
Isolation unit.","Present new bldg.
renovation needed in
4th floor for Critical
unit.","Microbiology Lab
Exists. Existing
2nd floor of
College Bldg.
Space Available.","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 1"
