0,1,2,3,4,5,6
Regulation,Brief Description,,,"Implications to the
Project","Responsible
Agency","Compliance
Status"
"Infectious Diseases
(Prevention, Control
and Elimination) Act
2018",,• This Act provides to “keep or,,"Design of project
components will comply
with the provisions
under the Act",MOHFW,"Being
Complied"
,,quarantine any suspected person,,,,
,,"infected with an infectious disease, at",,,,
,,"a specific hospital, temporary hospital,",,,,
,,establishment or home”. This law,,,,
,,"empowers government in notification,",,,,
,,"isolation, quarantine, sample collection",,,,
,,and testing in emerging diseases.,,,,
,,"• Under section 26, if false or incorrect",,,,
,,information is being spread or given by,,,,
,,any person who is aware of the correct,,,,
,,"information, he or she can potentially",,,,
,,be found guilty.,,,,
"Medical Waste
Management Rules
2008",,"• Any solid, liquid, gaseous, and",,"Management of medical
wastes generated from
the 525 health facilities,
37 medical colleges,
IEDCR, and BITID will
comply with these rules","Department of
Environment","Being
Complied"
,,radioactive waste material generated,,,,
,,"during the diagnosis, treatment,",,,,
,,"preventive and curative measure, or in",,,,
,,research activities pertaining to,,,,
,,"disease diagnosis when it is released,",,,,
,,"discharged, or disposed causing",,,,
,,detrimental effect on human health,,,,
,,and environment is considered,,,,
,,medical waste,,,,
,,• Main existing complete code to be,,,,
,,followed by all concerned agencies for,,,,
,,proper disposal of medical waste to,,,,
,,safeguard the environment,,,,
"Public Health
(Emergency
Provisions)
Ordinance, 1994",,Calls for special provisions in case of,,"Design, construction,
and operation and
maintenance of project
components will comply
with the special
provisions of this
Ordinance","Local
Government
Division","Being
Complied"
,,emergency to prevent the spread of,,,,
,,"human disease, safeguarding public",,,,
,,health and providing them adequate,,,,
,,medical service and other services,,,,
,,essential to the health of respective,,,,
,,community and workers in particular,,,,
,,during the construction related work,,,,
"National Disaster
Management Act
2012","This Act provides for activities on disaster
management coordinated, object oriented
and strengthened; and to formulate rules
that will build up infrastructures of effective
disaster management in fighting all types
of disaster.",,,"Setting-up emergency
response procedures","Ministry of
Disaster and
Relief","Being
Complied"
