0,1,2,3,4,5,6,7,8,9,10,11,12,13
SL,Description,"Estimated
Cost",IFT Date,"Opening
Date",NOA Date,"Contract
Sign Date","Completion
Date","Contract
Price","Physical
Progress","EMP
Prepared","EMP
Approved","EMP
Disclosed",Remark
b,"Installation of Medical Gas
System",60,,,,,,,,,,,
9,"Khulna Medical College, Khulna.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350.00,06/01/22,07/02/22,,,,,0%,YES,YES,NO,"Tender evaluation
report for Lot-1
Approved by ADB. Lot-2
Evaluation report is
under process of
approval)"
b,"Installation of Medical Gas
System",50.00,06/01/22,07/02/22,,,,,,YES,YES,NO,
10,Chittagong Medical College Hospital. Chittagong,,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350,,,,,,,0%,,,,Site is not selected.
b,"Installation of Medical Gas
System",50,,,,,,,,,,,Site is not selected.
11,Gopalganj Medical College Hospital. Gopalganj.,,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350,,,,,,,0%,,,,Site is not selected.
b,"Installation of Medical Gas
System",50,,,,,,,,,,,Site is not selected.
,Construction of PCR lab at MCH/Institute,,,,,,,,,,,,
1,"DNCC dedicated COVID -19
Hospital, Dhaka.",95,,,,,,,0%,YES,YES,NO,"IFB publish on 10-4-22.
Tender Evaluation is
going on"
2,"National Institute of Preventive
& Social Medicine, Dhaka",95,,,,,,,0%,YES,,,
3,"Sheikh Russel Gastroliver
Institute & Hospital, Dhaka.",95,,,,,,,0%,,,,"Requiring body not
interested."
4,"Naogaon Medical College,
Naogaon.",95,,,,,,,0%,,,,Req place not available.
,Establishment of Medical Centers in Land-Ports,,,,,,,,,,,,
1,"Benapole, Jashore.",662.09,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
2,"Burimari, Lalmonirhat",571.48,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
3,"Akhaura, Brahmanbaria.",374.41,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
4,"Bhomra, Satkhira.",91.02,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
5,"Tamabil, Sylhet.",549.03,,,,,,,0%,,,,"Bid document
correction is going on.
After giving EMP cost,
estimate will send for"
