0,1,2,3
COVID-19 Response Questions,DMCH,RMCH,CuMCH
Engage a full time EHS professional at site,FC,FC,FC
"Purchase thermometer gun, soap, hand sanitizer, disinfectants, and PPEs (mask, hand gloves,
hard shoes etc.) and keep it at worksite office.",FC,FC,FC
"Establish site entrance protocol. Redesign the site safety notices/signboards/protocol according to
the ADB guidelines",FC,FC,FC
"Arrange washbasin, soap, and clean water at the entrance of every worksite/campsite. Also keep
either a disinfectant tub for shoes or keep disinfectant spray that must be sprayed under the
boots/hard shoes of the persons entering worksite.",FC,PC,PC
"Provide every personnel working in the site with mask, hand gloves and hard shoes for their
personal use.",FC,FC,FC
"Everyone entering the worksite must wear a mask, gloves and hard shoes",FC,PC,PC
Daily worksite protocol,FC,FC,PC
At the start and end of the day disinfect the total worksite.,PC,PC,PC
"Encourage site personnel/camp dwellers to not touch their eyes, mouth or nose if not washed
thoroughly with soap recently. Also discourage hand shaking or hugs.",PC,PC,PC
"Arrange a mandatory site brief on COVID awareness in the morning. The session must be
conducted by the EHS/medical professional.",PC,PC,PC
"While worksites are commonly well ventilated (if not make sure the work sites are well ventilated),
ensure that the camp sites including the rooms designated for the camp dwellers are well
ventilated and spacious.",PC,PC,PC
"Discourage site personnel to gather and gossip at any time, rather encourage physical distance
while chatting/discussing.",FC,FC,PC
"Restrict worksite personnel to go outside unnecessarily. Also restrict campsite personnel to go
outside without any valid cause.",FC,FC,FC
"If any person related at worksite/campsite fall victim to COVID-19 or being kept isolated for pre-
caution, consider paid leave with no exception allowed.",No,No,No
"Train workers on how to properly put on, use/wear, and take off protective clothing and equipment.
The on-site EHS/Medical person should be in-charge of these trainings. These trainings must
maintain the WHO’s social distancing protocol. Make these trainings mandatory at worksites.
Provide 10-15 minutes of a workday for such ‘training and encouragement’ activities.",PC,PC,PC
