0,1,2,3,4,5
SL,Aspects of Environmental issues,"Compliance
Status*",,,Remarks
,,FC,PC,NC,
3.,"Handling of cement and other hazardous
materials by workers",,,,
4.,"Fire extinguishers/fighting facilities
maintenance and validation",,,,
5.,"Workers’ complaints have been taken care
of by the supervisor",,,,
6.,Children below 15 employments,,,,
C.,Environmental Pollution,,,,
Dust and emission control,,,,,
1.,"Construction vehicles and machinery are
maintained properly to reduce emissions",,,,
2.,"Proper storage of materials and regular
watering and maintaining log books",,,,
3.,"Availability of equipment for watering in
case of dust generation",,,,
Noise Pollution,,,,,
1.,Movement of vehicles at desired hours,,,,
2.,Noise control measures at sites,,,,
Water Pollution,,,,,
1.,"Wastes, cement, effluents, and junks not
disposed of in the water",,,,
Flora and Fauna,,,,,
1.,"Trees and bushes outside the construction
area preserved from damages",,,,
Waste Management,,,,,
1.,"Construction wastes are removed off-site
regularly",,,,
2.,"Chemical wastes, if any, collected and
disposed of properly",,,,
D.,Environmental documents at Field Office and Project sites,,,,
