0,1,2,3,4,5,6,7,8,9,10,11,12,13
SL,Description,"Estimated
Cost",IFT Date,"Opening
Date",NOA Date,"Contract
Sign Date","Completion
Date","Contract
Price","Physical
Progress","EMP
Prepared","EMP
Approved","EMP
Disclosed",Remark
4,"Naogaon Medical College,
Naogaon.",95,,,,,,,0%,,,,To be dropped
,Establishment of Medical Centers in Land-Ports,,,,,,,,,,,,
1,"Benapole, Jashore.",720,,,,,,,0%,,,,"Revised Architectural
plan sent to PD for
approval on 19-4-22"
2,"Burimari, Lalmonirhat",600,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
3,"Akhaura, Brahmanbaria.",600,,,,,,,0%,,,,"IFT will be published
soon"
4,"Bhomra, Satkhira.",600,,,,,,,0%,,,,"Revise architectural
drawing (only building)
plan sent to PD for
approval on
20/01/2022."
5,"Tamabil, Sylhet.",600,,,,,,,0%,YES,YES,NO,IFT Published
6,"Hili, Dinajpur",600,,,,,,,0%,,,,"Digital survey report
sent. Architectural
drawing approval under
process."
7,"Banglabandha, Panchagarh",600,,,,,,,0%,,,,"Architectural plan and
site selection under
process."
