0,1,2,3,4,5,6,7,8,9,10,11,12,13
SL,Description,"Estimated
Cost",IFT Date,"Opening
Date",NOA Date,"Contract
Sign Date","Completion
Date","Contract
Price","Physical
Progress","IEE/EMP
Prepared","EMP
Approved","IEE/EMP
Disclosed",Remark
,Construction of 50 bed Isolation Unit & 10 bed ICU/CCU,,,,,,,,,,,,
1,"Dhaka Medical College Hospital, Dhaka",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",339.21,06/12/21,03/01/22,01/03/22,20/03/22,19/09/22,304.82,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",50.00,15/09/21,18/10/21,25/11/21,06/12/21,10/05/22,43.89,,YES,YES,YES,
2,"Mugda 500 bed General Hospital, Dhaka",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",20.00,09/09/21,30/09/21,23/11/21,25/11/21,25/01/22,19.97,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",224.26,28/09/21,27/10/21,28/12/21,24/01/22,23/07/22,213.09,100%,YES,YES,YES,
3,"Rajshahi Medical College Hospital, Rajshahi",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",1096.09,08/08/21,07/09/21,12/10/21,31/10/21,31/07/22,1095.42,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",70.00,08/12/21,07/09/21,14/10/21,31/10/21,31/07/22,59.94,,YES,YES,YES,
4,"Shaheed Suhrawardy Medical College Hospital, Dhaka",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",130.26,05/09/21,29/09/21,19/10/21,24/10/21,24/04/22,129.87,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",258.98,12/09/21,11/10/21,13/12/21,23/12/21,23/06/22,249.54,,YES,YES,YES,
5,"Mymensingh Medical College Hospital, Mymensingh",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",74.9,25/08/21,20/09/21,14/11/21,16/11/21,16/02/22,62.89,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",61.98,25/08/21,20/09/21,14/11/21,16/11/21,16/02/22,53.28,,YES,YES,YES,
6,"Faridpur Medical College Hospital, Faridpur",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",57.02,16/08/21,8/9/2021,19/10/21,19/10/21,30/12/21,51.23,100%,YES,YES,YES,Work completed
7,"Cumilla Medical College Hospital, Cumilla",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",88.35,15/06/21,13/07/21,20/09/21,21/09/21,21/12/21,84.75,100%,YES,YES,YES,Work completed
b,"Installation of Medical Gas
System",68.63,15/06/21,13/07/21,25/10/21,26/10/21,26/01/22,61.76,,YES,YES,YES,
8,"Khulna Medical College, Khulna",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350.00,06/01/22,07/02/22,05/10/22,22/5/22,30/08/22,273.91,100%,YES,YES,NO,Work completed
b,"Installation of Medical Gas
System",50.00,06/01/22,07/02/22,23/06/22,21/07/22,20/1/23,41.00,,YES,YES,NO,
10,"Chittagong Medical College Hospital, Chittagong",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350,23/10/22,14/11/22,22/03/23,4/9/23,9/8/23,271.99,12%,YES,YES,NO,Brick work is going on
b,"Installation of Medical Gas
System",50,57.48,8/2/23,7/3/23,5/2/23,10/8/23,37.49,,YES,YES,YES,Contract Signed
