0,1,2,3,4
Package/Lot,"Final IEE/EMP
Provided to
Contractor (Yes/No)","Disclosed
on DGHS/project website
(provide link)","Site-specific EMP
Approved by PIU
(Yes/No)",Remarks
Construction of 50 bed Isolation Unit & 10 bed ICU/CCU,,,,
Dhaka Medical College Hospital,,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
Mugda 500 bed General Hospital,,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Rajshahi Medical College Hospital, Rajshahi",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Shaheed Suhrawardy Medical College Hospital, Dhaka",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Mymensingh Medical College Hospital, Mymensingh",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Faridpur Medical College Hospital, Faridpur",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
"Cumilla Medical College Hospital, Cumilla",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Khulna Medical College, Khulna",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Chittagong Medical College Hospital, Chittagong",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
"Gopalganj Medical College Hospital, Gopalganj",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
Construction of PCR lab at MCH/Institute,,,,
"DNCC dedicated COVID -19 Hospital,
Dhaka.",YES,NO,YES,
"National Institute of Preventive & Social
Medicine, Dhaka",YES,NO,,
Establishment of Medical Centers in Land-Ports,,,,
"Akhaura Land Port, Brahmanbaria",YES,NO,YES,
