0,1,2,3
Mitigation and Monitoring Items Unit Cost/Unit,,Total Unit,Total Cost
Construction Phase,,,
1. Workers Health and Safety:,Lump-sum,,"100,000.00"
"a) Supply of Personal Protection Equipment (PPE)for workers:
helmet, gloves, safety shoes, glass, safety
signs, first aid box with necessary drugs etc.",,,
"b) Supply of potable water for drinking, sanitation and
household purposes for workers and staffs.",,,
"c) Proper storage of construction materials in a safe
place and covering the sand, cement with tarpaulins.",,,
"d) Adequate facilities for hand washing, measuring body
temperature etc.",,,
"e) Place safety notices/signboards/protocol at the
working site.",,,
"f) Emergency equipment and facilities: fire
extinguisher/water hose, whistle, torch lights etc.",,,
"2. Supply of Personal Protection Equipment (PPE) for
COVID-19: facemask, gowns, gloves, eye protection,
hand sanitizer etc.",Lump-sum,,"50,000.00"
"3. Training on Occupational Health & Safety, and
COVID-19 Safety Protocol:",Lump-sum,,"10,000.00"
"a) Train on correct use and disposal of personal
protective equipment (PPE).",,,
b) Conduct regular toolbox meeting in the morning.,,,
"c) Regular site briefing on OHS and COVID-19
awareness.",,,
"d) Leaflet/poster for awareness among the workers, staffs
and nearby communities.",,,
4. Waste Disposal and Management:,Lump-sum,,40000.00
a) Supply of waste bins/pots for different wastes.,,,
"b) Collection and dumping of wastes including kitchen
waste from labor shed to local waste disposal system.",,,
"c) Regular meeting and on job training regarding waste
management and housekeeping.",,,
Grand Total:,"200,000.00",,
