0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Mitigation and Monitoring Items,,,Unit,,,Total Unit,,,Cost/Unit,,,Total Cost,
,1. Workers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,10,,,270,,,2700,,
,Helmet,,,Nos.,,,10,,,350,,,3500,
Safety shoes,,,Nos.,,,10,,,430,,,4300,,
,Safety Goggles,,,Nos.,,,10,,,280,,,2800,
Hand Sanitizer (5 Liter),,,Nos.,,,2,,,2600,,,5200,,
,One time Face Mask,,,Box,,,2,,,500,,,1000,
Thermometer for measuring body temperature,,,Nos.,,,1,,,1000,,,1000,,
,Fire extinguisher,,,Nos.,,,2,,,1299,,,2598,
First Aid Box,,,Nos.,,,1,,,250 0,,,2500,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,25598,
Sub-total Including over-head & profit =,,,,,,,,,,,,29053.730,,
,Add VAT with adjustment factor (VAT-7.5% &Factor-1.08108),,,,,,,,,,,,2355.705,
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,31409.435,,
,2. Engineers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,3,,,270,,,810,,
,Helmet,,,Nos.,,,3,,,350,,,1050,
Safety shoes,,,Nos.,,,3,,,1000,,,3000,,
,Safety Goggles,,,Nos.,,,3,,,500,,,1500,
Hand Sanitizer (5 Liter),,,Nos.,,,1,,,2600,,,2600,,
,One time Face Mask,,,Box,,,1,,,500,,,500,
Thermometer for measuring body temperature,,,Nos.,,,1,,,1000,,,1000,,
,First Aid Box,,,Nos.,,,1,,,2500,,,2500,
Sub-total excluding over-head & profit =,,,,,,,,,,,,12960,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,14709.60,
Add VAT with adjustment factor (VAT-7.5% &Factor-1.08108),,,,,,,,,,,,1192.669,,
,"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,15902.269,
"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,,
,Train on correct use and disposal of personal protective,,Nos.,,,1,,,10000,,,10000,,
,equipment (PPE),,,,,,,,,,,,,
Sub-total excluding over-head & profit =,,,,,,,,,,,,10000,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,11350,
Add VAT with adjustment factor (VAT-7.5% &Factor-1.08108),,,,,,,,,,,,920.269,,
,"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,12270.269,
"4. Waste Management, Potable Water Supply and Sanitation Facility",,,,,,,,,,,,,,
,Supply of waste bins/pots for different wastes,,,Nos.,,,2,,,2400,,,4800,
Cost for drinking water,,,Nos.,,,1000,,,2,,,2000,,
,"Cost for sanitation facilities (hand tube well, latrine etc.)",,,Nos.,,,1000,,,1,,,1000,
Cost for safety notices/signboards/protocol at site,,,Nos.,,,100,,,5,,,500,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,8300,
Sub-total Including over-head & profit =,,,,,,,,,,,,9420.500,,
,Add VAT with adjustment factor (VAT-7.5% &Factor-1.08108),,,,,,,,,,,,763.824,
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,10184.324,,
,Grand Total =,,,,,,,,,,,,69766.297,
"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5%",,,,,,,,,,,,,,
