0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Mitigation and Monitoring Items,,,Unit,,,Cost/Unit,,,Total Unit,,,Total Cost,
,1. Workers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,nos,,,200,,,15,,,3000,,
,Helmet,,,nos,,,350,,,15,,,5250,
Safety shoes,,,nos,,,430,,,15,,,6450,,
,Safety Goggles,,,nos,,,280,,,15,,,4200,
Hand Sanitizer (5 Liter),,,nos,,,2000,,,3,,,6000,,
,One time Face Mask,,,box,,,150,,,20,,,3000,
Thermometer for measuring body temperature,,,nos,,,500,,,1,,,500,,
,Fire extinguisher,,,nos,,,1000,,,2,,,2000,
Megaphone Handheld Loudspeaker,,,nos,,,2000,,,1,,,2000,,
,First Aid Box,,,nos,,,2000,,,1,,,2000,
Torch Light,,,nos,,,800,,,1,,,800,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,35200,
Sub-total Including over-head & profit =,,,,,,,,,,,,39952,,
,Add VAT with adjustment factor (VAT-7.5% &Factor-,,,,,,,,,,,"3,239.35",,
,1.08108),,,,,,,,,,,,,
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,"43,191.35",,
,2. Engineers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,nos,,,200,,,5,,,1000,,
,Helmet,,,nos,,,800,,,5,,,4000,
Safety shoes,,,nos,,,1200,,,5,,,6000,,
,Safety Goggles,,,nos,,,1000,,,5,,,5000,
Hand Sanitizer (5 Liter),,,nos,,,2000,,,1,,,2000,,
,One time Face Mask,,,box,,,150,,,2,,,300,
Thermometer for measuring body temperature,,,nos,,,500,,,1,,,500,,
,First Aid Box,,,nos,,,2000,,,1,,,2000,
Torch Light,,,nos,,,800,,,1,,,800,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,"21,600",
Sub-total Including over-head & profit =,,,,,,,,,,,,24516,,
,Add VAT with adjustment factor (VAT-7.5% &Factor-,,,,,,,,,,,"1,987.78",,
,1.08108),,,,,,,,,,,,,
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,"26,503.78",,
,"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,
"Train on correct use and disposal of personal protective
equipment (PPE)",,,nos,,,3000,,,1,,,3000,,
,"Leaflet/poster for awareness among the workers, staffs",,nos,,,5,,,50,,,250,,
,and nearby communities,,,,,,,,,,,,,
Sub-total excluding over-head & profit =,,,,,,,,,,,,3250,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,3688.75,
"Add VAT with adjustment factor (VAT-7.5% &Factor-
1.08108)",,,,,,,,,,,,299.09,,
,"Total for item 2 including over-head, profit andVAT =",,,,,,,,,,,,3987.84,
"4. Waste Management, Potable Water Supply and Sanitation Facility",,,,,,,,,,,,,,
