0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mitigation and Monitoring Items,,,Unit,,,,Total,,Cost/Unit,,,Total Cost,,
,,,,,,,Units,,,,,,,
,1. Workers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,15,,,270,,,4050,,
,Helmet,,,Nos.,,,15,,,350,,,5250,
Safety shoes,,,Nos.,,,15,,,430,,,6450,,
,Safety Goggles,,,Nos.,,,15,,,280,,,4200,
Hand Sanitizer (5 Liter),,,Nos.,,,5,,,2500,,,12500,,
,One time Face Mask,,,Nos.,,,10,,,500,,,5000,
Thermometer for measuring body temperature,,,Nos.,,,2,,,1000,,,2000,,
,Fire extinguisher,,,Nos.,,,3,,,1300,,,3900,
Megaphone Handheld Loudspeaker,,,Nos.,,,2,,,2700,,,5400,,
,First Aid Box,,,Nos.,,,2,,,2500,,,5000,
Torch Light,,,Nos.,,,4,,,1090,,,4360,,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,58110,
Sub-total including over-head & profit =,,,,,,,,,,,,65954.850,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,5347.685,
Sub-total for item 1,,,,,,,,,,,,71302.535,,
,2. Engineers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,4,,,270,,,1080,,
,Helmet,,,Nos.,,,4,,,500,,,2000,
Safety shoes,,,Nos.,,,4,,,500,,,2000,,
,Safety Goggles,,,Nos.,,,4,,,500,,,2000,
Hand Sanitizer (5 Liter),,,Nos.,,,1,,,2500,,,2500,,
,One time Face Mask,,,Nos.,,,2,,,500,,,1000,
Thermometer for measuring body temperature,,,Nos.,,,1,,,1000,,,1000,,
,First Aid Box,,,Nos.,,,1,,,2500,,,2500,
Torch Light,,,Nos.,,,2,,,1090,,,2180,,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,16260,
Sub-total including over-head & profit =,,,,,,,,,,,,18455.10,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,1496.358,
Sub-total for item 2,,,,,,,,,,,,19951.458,,
,"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,
"Train on correct use and disposal of personal protective equipment
(PPE)",,,Nos.,,,2,,,2000,,,4000,,
,"Leaflet/poster for awareness among the workers, staffs and nearby",,Nos.,,,300,,,5,,,1500,,
,communities,,,,,,,,,,,,,
"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,5500,,
,Sub-total including over-head & profit =,,,,,,,,,,,,6242.50,
Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,506.148,,
,Sub-total for item 3,,,,,,,,,,,,6748.648,
"4. Waste Management, Potable Water Supply and Sanitation Facility",,,,,,,,,,,,,,
,Supply of color-coded waste bins/pots for different wastes,,,Nos.,,,4,,,2400,,,9600,
Cost for drinking water,,,Nos.,,,1,,,10000,,,10000,,
,"Cost for Sanitation facilities (hand tube well, latrine etc.)",,,Nos.,,,1,,,25000,,,25000,
Cost for safety notices/signboards/protocol at site,,,Nos.,,,5,,,400,,,2000,,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,46600,
Sub-total including over-head & profit =,,,,,,,,,,,,52891.00,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,4288.455,
