0,1,2,3,4,5,6
,ENVIRONMENTAL CHECKLIST,,,,,
Name and address of the medical facility:,,,,,,
Type of healthcare facility: Number of beds:,,,,,,
Average no of patients in out-patient dept.: Date of survey:,,,,,,
"Are any of the following environmental concerns
currently in evidence at the site? (Describe situation
for any that are marked 'Y' and ‘N’)",,Y,N,N/A,Comments/Description,
General and Medical Waste (MW) Management,,,,,,
Quantity of medical waste generated/day from the facility,,,,,,
"Is there any arrangement of different bins for primary
disposal of different type of MWs (infectious waste, liquid
waste, plastic waste, sharp waste, and general waste)?",,,,,,
"Any arrangement of collection and transportation method
of different types of waste from the facility",,,,,,
Any in-house facility to treat infectious waste (autoclaving),,,,,,
Any recycling system for plastic and glass,,,,,,
Any in-house facility to treat other wastes,,,,,,
Disposal method of wastes from the facility,,,,,,
Any deep burial pits for final disposal of the wastes,,,,,,
"If no in-house facility to treat infectious waste, any external
facility i.e., common waste treatment facility for treatment
and disposal",,,,,,
"Mode of transport of medical waste to external treatment
facility",,,,,,
"Any MWM team responsible for monitoring the facility
Level of awareness and training at different levels of staff
to improve MWM Actions taken to improve MWM",,,,,,
"Any NGO or external agency working with the facility to
improve MWM",,,,,,
Other Environmental Issues,,,,,,
Raw sewage discharge from the facility,,,,,,
Poor drainage system in and around the facility,,,,,,
Quality of drinking water supplied in the facility,,,,,,
Health and Safety Issues,,,,,,
"Any occupational health and safety (OHS) plan and
procedures",,,,,,
AnyOHS training and safety drills,,,,,,
Available and appropriate PPEs and safety gears,,,,,,
"Emergency preparedness and response procedures and
equipment (warning signs, fire extinguishers, fire exit etc.)",,,,,,
Provision of fire safety,,,,,,
Provision of safe drinking water,,,,,,
"Provision of sanitary facilities separate from patients and
health workers (also separate male and female)",,,,,,
Any community health and safety plan and procedures,,,,,,
