0,1,2,3,4,5,6,7,8,9,10,11
Srl,,,Gas Cylinder,,,,Color,,,,
,,,,,,,Shoulder,,,Body,
,01,,,(cid:23)(cid:24)(cid:19)(cid:10),,,J(cid:19)(cid:12)(cid:22)(cid:10),,,J(cid:19)(cid:12)(cid:22)(cid:10),
,02,,,(cid:23)(cid:18)(cid:18)(cid:15)(cid:16)(cid:24)(cid:26)(cid:10),,,(cid:11)(cid:12)’(cid:10),,,G(cid:12)&&(cid:15)((cid:10)S(cid:10)(cid:29)&(cid:26)(cid:21)*(cid:10),
,03,,,(cid:2)(cid:26)(cid:19).(cid:15)(cid:16)(cid:10)’(cid:24)(cid:10)(cid:15)>(cid:24)’(cid:12)(cid:10),,,5(cid:24)&%(cid:12)(cid:19)(cid:10),,,(cid:29)&(cid:26)(cid:21)*(cid:10),
,04,,,(cid:2)2&(cid:15)(cid:19)(cid:24)(cid:16)(cid:12)(cid:10),,,G(cid:12)&&(cid:15)((cid:10),,,G(cid:12)&&(cid:15)((cid:10),
,05,,,4(cid:12)&(cid:24)-(cid:18)(cid:10),,,(cid:29)(cid:19)(cid:15)((cid:16)(cid:10),,,(cid:29)(cid:19)(cid:15)((cid:16)(cid:10),
,06,,,4(cid:22)’(cid:19)(cid:15)(cid:20)(cid:12)(cid:16)(cid:10),,,(cid:11)(cid:12)’(cid:10),,,(cid:11)(cid:12)’(cid:10),
,07,,,(cid:30)(cid:24)(cid:25)(cid:19)(cid:15)(cid:20)(cid:12)(cid:16)(cid:10),,,(cid:29)&(cid:26)(cid:21)*(cid:10),,,J(cid:19)(cid:12)(cid:22)(cid:10),
,08,,,(cid:3)>(cid:22)(cid:20)(cid:12)(cid:16)(cid:10),,,(2(cid:24)(cid:25)(cid:12)(cid:10),,,(cid:29)&(cid:26)(cid:21)*(cid:10),
