0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ক্ররৈক
নং","হািপাতারলি নাৈ
পরিচালরকি/তত্ত্বােিােরকি নাৈ ও জৈাোইল নং",জেড িংখ্যা,,,জভরন্টরল ি,ভরতকৃি ত জিা ীি িংখ্যা,,,"ত ২৪ ঘন্টাে
ভরত িজিা ীি িংখ্যা","ত ২৪ ঘন্টাে
োিপ্রাপ্ত জিা ীি
িংখ্যা","অরিরেন
রিরলিারিি িংখ্যা","হাই জলা
জনোল
কযারনালাি
িংখ্যা","েতৈিারন
ব্যােহৃত
হাই জলা জনোল
কযারনালা","অরিরেন
কনরিনরে ি","জিরাল অরিরেন
লাইন",ৈন্তব্য
,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,,,,,,,
২৩,"ইৈপালি হািপাতাল
োরেরেে জহারিন - ০১৭২৮১৫৬৯৩১",২৫০,৫৬,০,২৫,০,০,০,০,০,৪০০,৩০,০,০,আরে,
২৪,এ এৈ জেড হািপাতাল-১৭৩৫৯০৪০৬৯,১৪,৬,৮,১২,০,০,০,০,০,২৩০,৬,০,৭,আরে,
২৫,োংলারেশ জেরিোলাইেড হািপাতাল ০১৭১১-৬৭১৫০৬,৪,২,০,০,০,০,০,০,০,৫১,১৩,০,০,আরে,
২৬,"শীপ ইন্টািন্যাশনাল হািপাতাল
ডাঃ এি. এৈ. িারে",৪৪,১২,৯,৪,০,০,০,০,০,৫০,৬,৩,৮,আরে,
২৭,হরল ফযারৈরল হািপাতাল,১২৩,২০,১২,১৩,০,০,০,০,০,১৯২,১০,০,১২,আরে,
২৮,গ্রীন লাইফ হািপাতাল,৫,৩,২,৩,০,০,০,০,০,১৮১,১৬,০,০,আরে,
২৯,ল্যাে এইড হািপাতাল,০,০,০,৩,০,০,০,০,০,১২০,১৩,০,০,আরে,
৩০,পপুলাি জৈরডরকল করলে হািপাতাল,১৩০,৪২,৮,১৫,০,০,০,০,০,৪০০,৪০,০,০,আরে,
৩১,এনাৈ জৈরডরকল করলে হািপাতাল,০,৫,১৫,৪০,০,০,০,০,০,৩৫০,৫০,০,৩০,আরে,
৩২,ইউরনভািািল জৈরডরকল করলে হািপাতাল,২৬,২১,৫,১০,০,০,০,০,০,১৫৭,৮,০,১,আরে,
৩৩,িাহাবুরিন জৈরডরকল করলে হািপাতাল,১৭৮,১২,১০,১২,০,০,০,০,০,১২০,৮,৮,০,আরে,
৩৪,"েেনুল হক রিকোি ওরৈন্স জৈরডরকল করলে এি হিরপ াল, গুলশান",২২,৪,০,৭,০,০,০,০,০,১৪০,৬,০,০,আরে,
৩৫,"ঢাকা জিরাল ইন্টািন্যাশনাল জৈরডরকল করলে হিরপ াল,
জৈেি (অে:) ডাঃ জৈাহাঃ জতৌরফকুল মুরনৈ; পরিচালক- ০১৭১১১৬৪২১৭",৬৭,১০,৫,১৪,০,০,০,০,০,১০০,১,০,২৫,আরে,
৩৬,উত্তিা রক্ররিন্ট হািপাতাল,৮,২,০,৮,০,০,০,০,০,২০০,১০,০,০,আরে,
৩৭,"হাই জকোি জেনারিল হািপাতাল
ডাঃ জৈাঃ িারিল রৈঞা- ০১৭২৩৭৮৮৯২৬",১২,১০,৮,৬,০,০,০,০,০,১৫০,৮,০,০,আরে,
৩৮,জে াি লাইফ হািপাতাল,৬২,২৪,০,১৩,০,০,০,০,০,২২০,২,০,০,আরে,
৩৯,কৈরফা িহািপাতাল,১৪,৮,০,৬,০,০,০,০,০,৯২,৪,০,০,আরে,
৪০,জফৈাি জেশালাইেড হিরপ াল,২২,৮,০,৩,০,০,০,০,০,১২৮,৩,০,১৮,আরে,
৪১,"রেআইএইচএি হািপাতাল, রৈিপুি",৬০,১৬,৫,৭,০,০,০,০,০,৬০,১১,০,০,আরে,
৪২,"িারেো হািপাতাল, জকিানী ঞ্জ",১৬,৬,০,৭,০,০,০,০,০,১১৫,৮,০,১০,আরে,
৪৩,র্ স্বাস্থ্য ন ি হািপাতাল,২১,৫,৩,৮,০,০,০,০,০,৬৬,১০,০,০,আরে,
৪৪,"আল-ৈানাি হািপাতাল রলঃ
অধ্যাপক ডাঃ আবু খলদুন আল-ৈাহমুে-০১৮১৫-৪০৫ ২২১",১৪,৬,০,৬,০,০,০,০,০,৯৬,৩,০,১,আরে,
৪৫,"আে-দ্বীন উইরৈনি জৈরডরকল করলে ও হািপাতাল, ৈ োোি, ঢাকা
অধ্যাপক ডাঃ নারহে ইোিরৈন -০১৭১৩৪৮৮৪৩৯",২০,১,০,১,০,০,০,০,০,১০,৪,০,০,আরে,
৪৬,"িানৈরি রিরনক (রপরভটি) গ্রীন জিাড ঢাকা
জৈাঃ লুৎফুল আযৈ পরিচালক- ০১৭১১৫৪০২৪৬",১৩,৬,৬,৭,০,০,০,০,০,১২৫,৯,০,৫,আরে,
৪৭,"রনউ লাইফ হিরপ াল
আবুল োশাি জৈাঃ ইোরহো িিকাি ০১৮১৯১০৪৩৭৬",২০,১০,০,৮,০,০,০,০,০,১০০,৮,০,০,আরে,
৪৮,"োপান োংলারেশ জেিরশপ হরে াল রলঃ
০১৬৮৮-৫০১০৬০",২৮,১২,০,৮,০,০,০,০,০,১২৫,৮,০,৭,আরে,
ঢাকা ৈহান রিি জৈা,,৪৪৪০,৭৩১,৫২০,৬২৬,০,১৬,৬,৭,৪,১০০৫৬,১০৩০,৩৩,৪৬৫,৪৮ টি,
