0,1,2,3,4,5,6,7,8
wefvM,‡Rjv,"24 N›Uvq bgybv
cixÿv","24 N›Uvq
kbv³","24 N›Uvq
g„Zz¨",২০২৫ kbv³,A`¨vewa kbv³,২০২৫ g„Zz¨,A`¨vewa g„Zz¨
XvKv,"ঢাকা (মহানগর
সহ)",1,0,0,362,১০৬৪৯৫3,১১,8452
,dwi`cyi,০,০,0,0,২৫৮২৮,০,466
,MvRxcyi,০,০,0,0,২৯৮৩০,০,603
,‡MvcvjMÄ,০,০,0,0,১২৬৯৮,০,226
,wK‡kviMÄ,০,০,0,0,১৪৫২৯,০,295
,gv`vixcyi,০,০,0,0,৮১৪১,০,205
,gvwbKMÄ,০,০,0,0,৯৬৯৩,০,247
,gywÝMÄ,০,০,0,0,১৫৬৯৯,০,479
,bvivqbMÄ,০,০,0,0,৩১৫১৫,০,794
,biwms`x,০,০,0,0,১৩৬৯৩,০,331
,ivRevox,০,০,0,0,১১৯২১,০,231
,kixqZcyi,০,০,0,0,৮৮৯০,০,180
,Uv½vBj,০,০,0,0,১৯৬৯১,০,480
‡gvU,,1,0,0,362,১২৬৭০৭৯,১১,12989
gqgbwmsn,gqgbwmsn,0,০,0,44,২৮১৭৮,০,462
,‡bÎ‡Kvbv,০,০,0,2,৫৭৮১,০,164
,Rvgvjcyi,০,০,0,0,৫৯১৫,০,172
,‡kicyi,০,০,0,1,৫৭৬৭,০,119
‡gvU,,0,0,0,47,৪৫৬৪১,০,917
PÆMÖvg,PÆMÖvg,0,0,0,186,১২৯৬৮৬,১৩,1528
,K·evRvi,0,0,0,43,৩৬৫২৫,০,336
,ev›`ievb,0,0,0,0,৩৩০৯,০,18
,iv½vgvwU,0,0,0,0,৫৪৯৭,০,36
,LvMovQwo,0,0,0,0,৩৮২৪,০,46
,‡dbx,0,0,0,0,১২৫৬১,০,300
,‡bvqvLvjx,0,0,0,0,২৩৩৭৬,১,627
,jÿxcyi,0,0,0,0,৯৩৪১,০,254
,Puv`cyi,0,0,0,0,১৭৭১৫,০,660
,Kzwgjøv,0,0,0,6,৪৩৮৬৬,০,1589
,eªvþbevwoqv,0,0,0,1,১৩৫৩৮,০,531
‡gvU,,0,0,0,236,২৯৯২৩৮,১৪,5925
ivRkvnx,ivRkvnx,0,0,0,50,৩৪৮৬৮,০,395
,PvcvBbeveMÄ,0,0,0,0,৬৫৮১,০,177
,bv‡Uvi,0,0,0,0,১০০৯২,০,212
,bIMuv,0,0,0,0,৭৮৬৭,০,206
,cvebv,0,0,0,0,১৭৪৮৪,০,198
,wmivRMÄ,0,0,0,0,১৪০০৩,০,195
,e¸ov,0,0,0,0,২৫২৩৮,০,666
,RqcyinvU,0,0,0,28,৬০৪৮,০,120
‡gvU,,0,0,0,78,১২২১৮১,০,2169
iscyi,iscyi,০,0,0,0,১৫২৯৩,০,332
,cÂMo,০,0,0,0,৪৪৩২,০,96
,bxjdvgvix,০,0,0,0,৫৭৩২,০,99
,jvjgwbinvU,০,0,0,0,৩৩২৯,০,83
,KzwoMÖvg,০,0,0,0,৪৯৮৭,০,78
,VvKziMuvI,০,০,0,0,৮৬৯১,০,262
,w`bvRcyi,০,০,0,1,১৭০৩৫,০,389
,MvBevÜv,০,০,0,0,৫৫৩০,০,90
‡gvU,,0,0,0,1,৬৫০২৯,০,1429
Lyjbv,ev‡MinvU,0,0,0,0,৮০৬১,০,263
,PzqvWv½v,0,0,0,0,৭৯৩১,০,262
,h‡kvi,0,0,0,0,২৫৪৭৪,০,592
,wSbvB`n,0,0,0,0,১১০০১,০,413
,Lyjbv,0,0,0,4,৩২৪২২,৪,699
,Kzwóqv,0,0,0,0,২১৯৯১,১,856
,gv¸iv,0,0,0,0,৪৭০৩,০,134
,‡g‡nicyi,0,0,0,0,৫৬৮২,০,236
,bovBj,0,0,0,0,৫৬৭৩,০,181
