0,1,2,3,4,5
২৪,সবসরকারর,"স্কয়ার হাসপাতাল রলরমদর্ড, ঢাকা",0,0,199271
২৫,,"ইবদি রসিা সমরডদকল কদলজ হাসপাতাল, ঢাকা",0,0,7307
২৬,,"ইউিাইদর্ড হাসপাতাল রলরমদর্ড, ঢাকা",1,1,"12,583"
২৭,,"এভারদকয়ার হাসপাতাল, ঢাকা",0,0,128134
২৮,,"ল্যাবএইড হাসপাতাল (িািমরন্ড ব্রাঞ্চ), ঢাকা",0,0,224956
২৯,,"আহসারিয়া রমশি কযািসার ও সজিাদরল হসরপর্াল, ঢাকা",0,0,3793
৩০,,"বাাংলাদেশ সেশালাইজড হাসপাতাল, ঢাকা",0,0,28459
৩১,,"হরল ফযারমরল সরড রক্রদসন্ট সমরডদকল কদলজ হাসপাতাল, ঢাকা",0,0,11162
৩২,,"রব আর রব হাসপাতাল রলরমদর্ড, ঢাকা",0,0,13357
৩৩,,"আজগর আলী হাসপাতাল, ঢাকা",0,0,43149
৩৪,,"রডএমএফআর মরলকুলার ল্যাব এন্ড ডায়াগিরিক, ঢাকা",0,0,306154
৩৫,,"রডএিএ সল্যযশি রলরমদর্ড, ঢাকা",0,0,116687
৩৬,,"ইউরিভাদসলব সমরডদকল কদলজ ও হাসপাতাল, ঢাকা",0,0,98537
৩৭,,"রস আর এল ডায়াগিরিকস, ঢাকা",০,০,14986
৩৮,,"রক্রিাল ডায়াগিরিক, গুলশাি, ঢাকা",0,0,42693
৩৯,,"ইসলামী ব্াাংক সেশালাইজড এন্ড সজিাদরল হাসপাতাল, ঢাকা",0,0,9601
৪০,,"মডাণ বডায়াগিরিক সসন্টার রলঃ, ঢাকা",0,0,9811
৪১,,"এ এম সজড হাসপাতাল রলরমদর্ড, ঢাকা",0,0,150050
৪২,,"ন্যাশিাল হার্ বফাউদন্ডশি হাসপাতাল এন্ড ররসাচ বইিরিটিউর্, ঢাকা",0,0,15364
৪৩,,"গণস্বাস্থ্য িগর হাসপাতাল, ঢাকা",0,0,6803
৪৪,,"প্রাইম ডায়াগিরিক রলরমদর্ড, ঢাকা",0,0,49621
৪৫,,"বাদয়াদমড ডায়াগিরিকস, ঢাকা",0,0,30844
৪৬,,"প্রাভা সহলে বাাংলাদেশ রলরমদর্ড, ঢাকা",0,0,49620
৪৭,,"আইরসরডরডআর,রব",0,0,184909
৪৮,,"চট্টগ্রাম মা-রশশু ও সজিাদরল হাসপাতাল, চট্টগ্রাম",0,0,48395
৪৯,,"এরপক সহল্ে সকয়ার, চট্টগ্রাম",0,0,20099
৫০,,"এভারদকয়ার হাসপাতাল, চট্টগ্রাম",0,0,5487
৫১,,"ল্যাবএইড রলরমদর্ড (ডায়াগিরিক), চট্টগ্রাম",0,0,1254
৫২,,"সমরডকযাল সসন্টার হাসপাতাল, চট্টগ্রাম",0,0,24080
৫৩,,"ব্রাহ্মণবারড়য়া সমরডদকল কদলজ হাসপাতাল (প্রাঃ), ব্রাহ্মণবারড়য়া",0,0,8736
৫৪,,"মডাণ বহসরপর্াল প্রাইদভর্ রলরমদর্ড, কুরমল্লা",0,0,65175
৫৫,,"গাজী সমরডদকল কদলজ হাসপাতাল, খুলিা",0,0,6314
৫৬,,"সীমারন্তক প্যােলরজ ও ডায়াগিরিক সসন্টার, রসদলর্",0,0,145049
,রিদম্ন রবভাগ অনুযারয় পূদব বসচল রকন্তু বতমব াদি অচল ল্যাদবর তথ্যারে,,,,
৫৭,ঢাকা,বঙ্গবন্ধু সশখ মুরজব সমরডকযাল রবশ্বরবদ্যালয় (রবএসএমএমইউ),0,0,284472
৫৮,,চাইল্ড সহলে ররসাচ বফাউদন্ডশি ও ঢাকা রশশু হাসপাতাল,0,0,63435
৫৯,,ঢাকা সমরডদকল কদলজ হাসপাতাল,0,0,283
৬০,,"জাতীয় প্ররতদষিক ও সামারজক রচরকৎসা প্ররতষ্ঠাি, ঢাকা",0,0,151722
৬১,,"সশখ রাদসল গ্যাদরারলভার ইিরিটিউর্ ও হাসপাতাল, ঢাকা",0,0,65695
৬২,,"কুদয়ত-বাাংলাদেশ বমএী সরকারর হাসপাতাল, ঢাকা",0,0,27857
৬৩,,"জাতীয় কযান্সার গদবষণা ইিরিটিউর্ ও হাসপাতাল, ঢাকা",0,0,7698
৬৪,,আমডব সফাদসসব ইিরিটিউর্ অব প্যােলরজ ও রসএমএইচ,0,0,694158
৬৫,,"সকন্দ্রীয় পুরলশ হাসপাতাল, ঢাকা",0,0,232272
৬৬,,"বডাবর গাড বহাসপাতাল, রপলখািা, ঢাকা",0,0,7195
৬৭,,"বাাংলাদেশ প্রারণসম্পে গদবষণা ইিরিটিউর্, সাভার, ঢাকা",0,0,49806
৬৮,,"ন্যাশিাল ইিরিটিউর্ অব বাদয়াদর্কদিালরজ, সাভার, ঢাকা",0,0,32608
৬৯,,"উচ্চতর রবজ্ঞাি গদবষণা সকন্দ্র, ঢাকা রবশ্বরবদ্যালয়",0,0,59402
৭০,,"সরকারর কমচব ারী হাসপাতাল, ঢাকা",0,0,45033
৭১,,"আইদেশী, ঢাকা",0,0,37182
৭২,,"এিাম সমরডদকল কদলজ ও হাসপাতাল, সাভার, ঢাকা",0,0,21795
৭৩,,"আদিায়ার খাি মডাি বসমরডদকল কদলজ হাসপাতাল, ঢাকা",0,0,179958
৭৪,,"ল্যাবএইড সমরডদকল সসন্টার , গুলশাি, ঢাকা",0,0,12431
৭৫,,"রস,এস,রব,এফ সহলে সসন্টার, ঢাকা",0,0,45776
৭৬,,"ডাঃ লাল প্যাে ল্যাবস বাাংলাদেশ রলঃ, ঢাকা",0,0,13742
৭৭,,"আইরচ হাসপাতাল রলরমদর্ড, ঢাকা",0,0,84190
৭৮,,"জয়নুল হক রসকোর ওদমন্স সমরডদকল কদলজ এন্ড হসরপর্াল (প্রাঃ)
রলঃ, ঢাকা",0,0,62177
৭৯,,"রে রডএিএ ল্যাব রলরমদর্ড, ঢাকা",0,0,24606
৮০,,"গুলশাি রিরিক রলরমদর্ড, ঢাকা",0,0,99934
৮১,,"আইরসরডরডআর,রব মরলকুলার ডায়াগিরিক ল্যাবদরর্রর, ঢাকা",0,0,145454
৮২,,"বাাংলাদেশ ইিরিটিউর্ অব সহলে সাইদন্সস সজিাদরল হাসপাতাল,
ঢাকা",0,0,71393
