0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"র্প্রোতন্ত্রী োংলারেশ িিকাি
স্বাস্থ্য ও পরিোি কল্যার্ ৈন্ত্রর্ালে
স্বাস্থ্য জিো রেভা
স্বাস্থ্য অরিেপ্তি, এৈ আই এি
জহল্ ইৈারেন্সি ী অপারিশন জিন্টাি ও করন্ট্রাল রুৈ
ৈহাখালী, ঢাকা-১২১২",,,,,,,,,,,,,,,,
তারিখঃ,,,,,,,,,,,,,,,06/03/2025 ইং,
"ক্ররৈক
নং","হািপাতারলি নাৈ
পরিচালরকি/তত্ত্বােিােরকি নাৈ ও জৈাোইল নং",জেড িংখ্যা,,,জভরন্টরল ি,ভরতকৃিত জিা ীি িংখ্যা,,,"ত ২৪ ঘন্টাে
ভরত িজিা ীি িংখ্যা","ত ২৪ ঘন্টাে
োিপ্রাপ্ত জিা ীি
িংখ্যা","অরিরেন
রিরলিারিি িংখ্যা","হাই জলা
জনোল
কযারনালাি
িংখ্যা","েতৈিারন
ব্যােহৃত
হাই জলা জনোল
কযারনালা","অরিরেন
কনরিনরে ি","জিন্ট্রাল অরিরেন
লাইন",ৈন্তব্য
,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,,,,,,,
ঢাকা ৈহান ি,,,,,,,,,,,,,,,,
১,"কুরেত োংলারেশ মৈত্রী িিকািী হািপাতাল, উত্তিা, ঢাকা।
ডাঃ এ.জক.এৈ িিওোরুল আলৈ ০১৭-১১-৩৬৮৮৪১ (পরিচালক)",৬৪,১৬,০,২৬,০,০,০,০,০,৩৩২,৪১,০,৫,আরে,
২,"৫০০ শয্যা কুরৈরি ালা জেনারিল হািপাতাল
রির ঃ জেনারিল জৈাঃ জ ালাৈ রকেরিো - ০১৭-৬৯-০১০২০১ (পরিচালক)",২৭৫,১০,১৫,২৭,০,০,০,০,০,৪৩৯,৫৭,০,৩০,আরে,
৩,"২৫০ শয্যা জশখ িারিল গ্যাররারলভাি হািপাতাল, ৈহাখালী, ঢাকা।
প্ররফঃ পাঃ ফারুক আহরৈে ০১৮-১৯-২২১১১৫ (পরিচালক)",১৭৪,১৬,০,১৬,০,০,০,০,০,১৮৫,৩০,২,৩১,আরে,
৪,"িিকািী কৈচিািী হািপাতাল, ফুলোরিো, ঢাকা।
মুহঃ ৈাহাবুেি িহৈান- ০১৭১৫-৬৩৫-৯০৫ (পরিচালক)",৩৩,০,৪,৪,০,০,০,০,০,১০৫,১৬,০,৪,আরে,
৫,"ঢাকা জৈরডরকল করলে হািপাতাল (ইউরন -২) ও োর্ িইউরন
রের ঃ জেন জৈাঃ নােমুল হক- ০১৭-১৫১৯১৩০৩ (পরিচালক)",৪৮৫,২০,৪০,২০,০,০,০,০,০,১০০০,১৫৫,১,৬,আরে,
৬,"মু ো জৈরডরকল করলে হািপাতাল, ঢাকা।
ডাঃ জৈাঃ রনোতুজ্জাৈান, ০১৭১১১৭৮৩০৯ (পরিচালক, ভািপ্রাপ্ত)",৬০,১০,১০,২৫,০,০,০,০,০,১০০,৩০,০,৫,আরে,
৭,"শহীে জিাহিাওোেী জৈরডরকল করলে হািপাতাল
ডাঃ জৈাঃ খরললুি িহৈান- ০১৭১২১৬৯৫৯০ (পরিচালক)",৫০,১০,০,২০,০,০,০,০,০,৬০০,২৮,০,১১০,আরে,
৮,"িাোিো পুরলশ হািপাতাল, ঢাকা।
ডাঃ হািানুল হােোি ০১৭-৬৯-০৫৮১১৯ (পরিচালক)",৪৭০,১৫,১৫,১৮,০,০,০,০,০,৬০০,২৬,০,২৮,আরে,
৯,"িংক্রাৈক ব্যারি হািপাতাল, ৈহাখালী, ঢাকা।
ডাঃ রৈোনুি িহৈান ০১৭-১২-৪৭৯০৭৪ (পরিচালক)",৫০,০,০,০,০,০,০,০,০,১০০,০,০,০,আরে,
১০,োতীে হৃেরিা ইনরিটিউ ও হািপাতাল NICVD ০১৭১৮৬৬৮৫১৬,৪২,৮,০,৬,০,০,০,০,০,১২০,২০,০,৩,আরে,
১১,"২৫০ শয্যা রেরশষ্ট টিরে হািপাতাল, শ্যাৈলী, ঢাকা-১২০৭ ।
ডাঃ জৈাঃ আবু িােহান, উপ-পরিচালক জৈাোইল নং-০১৭১৬২০৬৫৮৮",১২৬,৪,২০,৪,০,০,০,০,০,১৮৫,১৫,০,৫,আরে,
১২,"োতীে েক্ষব্যারি ইন্সটিটিউ ও হািপাতাল, ৈহাখালী, ঢাকা-১২১২। ডা. জৈাঃ
খােরুল আনাৈ, পরিচালক, জৈাোইল নং-০১৭১১-৮৪৬৪১৬",৩৪,১০,০,৩,০,০,০,০,০,২৫,২,০,৪,আরে,
১৩,"ন্যাশনাল ইন্সটিটিউ অে রনউরিািারেন্সি ও হািপাতাল
অধ্যাপক ডাঃ কােী দ্বীন জৈাহাম্মে",৬০,০,০,০,০,০,০,০,০,১৭,২,০,০,আরে,
১৪,"রে. এি. এৈ. এৈ. ইউ, ঢাকা।
রের ঃ জেনারিল ডাঃ জুলরফকাি আলৈ আরৈন, ০১৩-০৯-৯৮৮৮১০",৫৫১,৩৬,২০,৩৯,০,০,০,০,০,৩০,৫০,০,২৫,আরে,
১৫,রডএনরিরি জডরডরকর ড জকারভড-১৯ হািপাতাল,৫৫৪,২১২,২৮৮,৬৯,০,০,০,০,০,৬৫০,১৪৮,১,৮৩,আরে,
১৬,"োতীে অর্ািরপরডক হািপাতাল ও পুনোিি ন প্ররতষ্ঠান (রনর াি)
পরিচালক অধ্যাপক ডাঃ জৈাঃ আব্দুল রন জৈাল্লা ০১৭১১৬৬০৬৭৩",২০,০,০,৩,০,০,০,০,০,১০,৩,০,০,আরে,
১৭,"আরনাোি খান ৈডান িজৈরডরকল করলে হািপাতাল, িানৈরি, ঢাকা
প্ররফঃ ডাঃ এহরতশামুল হক ০১৭-১১-৬৭৩৫৫০ (পরিচালক)",১৪০,২৬,১২,২৯,০,০,০,০,০,৭৫০,৮,০,২,আরে,
১৮,আি ি আলী হািপাতাল - ০১৭৮৭৬৮৩১১০,৪,৪,০,২৯,০,০,০,০,০,১৮০,২০,২,০,আরে,
১৯,স্কোি হািপাতাল - ০১৭২৬২৬৩৪৪৪,২,২,০,২,০,০,০,০,০,৫,২০,০,০,আরে,
২০,ইেরন রিনা হািপাতাল -০১৮১৭১৪৪৬১৪,৩,৩,০,১০,০,০,০,০,০,২৮২,১০,০,০,আরে,
২১,ইউনাইর ড হািপাতাল - ০১৯১৪৪০০১১১৫,৫৩,১৫,০,১৫,০,০,০,০,০,১১০,৩৩,০,০,আরে,
২২,এভাি জকোি হািপাতাল ০১৭১৩-০৯৯৬৭৫,৮,৬,০,১৫,০,০,০,০,০,২৫৩,২১,০,০,আরে,
২৩,"ইৈপালি হািপাতাল
োরেরেে জহারিন - ০১৭২৮১৫৬৯৩১",২৫০,৫৬,০,২৫,০,০,০,০,০,৪০০,৩০,০,০,আরে,
