0,1
List of tables,vi
List of figures,vii
Summary,1
A. System wise pattern,7
B. Demography,8
C. Leading sites of cancer,9
D. Special age group cancer:,11
E. All sites:,15
F. Head & neck cancer,16
G. Respiratory System,18
H. Lung cancer,19
I. Breast cancer,20
J. GIT,22
K. Bone,24
L. Female genital organs,25
M. Cervical cancer,26
N. Ovary,28
O. Male genital organs,30
P. Prostate,31
Q. Kidney & related organs,33
R. U. Bladder,33
S. Lymphatics & Lymph Node,36
Appendix I: Age-specific distribution of cancer patients (male),39
Appendix II: Age-specific distribution of cancer patients (female),42
Appendix III: Histological classification of cancers according to site,47
Trend of main three cancers at NICRH (2005-2014),50
Hospital Cancer Registry Form,51
