0,1,2,3,4,5,6,7,8,9,10
C65.9,Renal pelvis,2,0,0,2,3,3,0,1,11
C67.9,Bladder,0,1,1,5,28,42,27,10,114
C69.0,Conjunctiva,0,0,1,1,1,1,1,1,6
C69.2,Retina,1,0,0,0,0,0,0,0,1
C69.4,Eye ball,6,0,0,0,2,0,2,0,10
C69.6,Orbit,2,1,1,0,2,0,0,2,8
C69.9,Eye,31,0,0,0,1,4,2,2,40
C70.0,Ceribral meningis,0,0,1,0,0,0,0,0,1
C70.1,Spinal menengis,0,0,0,0,0,1,0,0,1
C71.0,Cerebram,3,6,5,5,7,6,2,2,36
C71.1,Frontal lobe,0,0,0,0,1,0,0,0,1
C71.2,Temporal lobe,0,0,0,1,0,0,0,0,1
C71.4,Occipital lobe,0,0,0,0,1,1,0,0,2
C71.6,Cerebellum,0,1,0,0,0,0,0,0,1
C71.8,Brainstem,2,2,0,1,1,0,1,0,7
C71.9,Brain,1,1,3,2,2,5,2,0,16
C73.9,Thyroid,0,4,4,4,8,11,3,0,34
C75.1,Pituitary gland,0,0,1,0,0,0,0,0,1
C76.0,"Cheek, Jaw ,Nose",0,0,0,0,2,3,1,0,6
C76.1,Thorax,0,0,0,0,0,1,0,0,1
C76.2,Abdominal wall,1,0,0,3,2,3,1,1,11
C76.3,Pelvis,0,0,1,0,1,0,0,0,2
C77.0,LN of Head face & Neck,8,8,15,35,99,142,98,35,440
C77.2,Intra abdominal LN,0,1,0,0,2,0,1,0,4
C77.3,LN of axilla,1,1,2,6,6,5,1,1,23
C77.4,Inguinal region,1,3,0,10,9,2,7,2,34
C77.5,Pelvic LN,1,4,1,2,0,0,0,0,8
C77.9,LN,31,25,39,47,65,74,36,12,329
C80.9,Un known primary site,3,7,8,15,21,19,15,7,92
,Total,203,237,346,603,1310,1717,1251,458,6125
Female,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,=>75,Total
C00,LIP,0,1,0,2,7,4,1,1,16
C01.9,Base of the tongue,3,5,4,6,7,8,1,0,34
C02.4,Lingual tonsil,2,0,1,1,3,2,0,0,9
C02.9,Tongue,1,2,8,7,21,10,10,2,61
