0,1,2,3,4,5,6,7,8,9,10
ICD-O,Primary site of tumour,Age group,,,,,,,,
,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,=>75,Total
C57.9,Female genital tract,0,0,2,0,0,0,0,0,2
C58.9,"Placenta, Foetal membrane",0,0,0,0,0,0,1,0,1
C64.9,Kidney,3,3,4,0,3,3,2,0,18
C65.9,Renal pelvis,2,0,1,1,0,0,0,0,4
C66.9,Ureter,0,0,1,0,0,0,0,0,1
C67.9,Bladder,0,0,3,3,8,7,8,2,31
C69.4,Eye ball,1,0,0,0,0,0,0,0,1
C69.6,Orbit,0,1,0,0,0,0,0,2,3
C69.9,Eye,12,1,0,1,3,4,1,0,22
C70.0,Ceribral meningis,0,1,0,0,1,0,0,0,2
C70.9,Meninges (NOS),0,0,1,0,0,0,0,0,1
C71.0,Cerebram,1,3,5,4,2,5,1,0,21
C71.2,Temporal lobe,0,1,0,0,1,0,0,0,2
C71.6,Cerebellum,0,0,0,0,1,0,0,0,1
C71.7,Brainstem,0,0,0,1,0,1,0,0,2
C71.9,Brain,1,0,1,3,1,1,1,0,8
C73.9,Thyroid,1,6,14,11,8,7,3,3,53
C74.9,Adrenal gland,0,0,1,0,0,0,0,0,1
C75.1,Pituitary gland,0,0,0,1,0,0,0,0,1
C76.0,"Cheek, Jaw ,Nose",0,0,1,0,1,3,2,1,8
C76.2,Abdominal wall,0,3,2,4,5,6,1,0,21
C76.3,Pelvis,0,1,1,0,0,0,0,0,2
C77.0,LN of Head face & Neck,2,8,15,18,39,35,26,7,150
C77.1,Intra thoracic LN,0,0,0,0,1,0,0,0,1
C77.2,Intra abdominal LN,0,1,0,0,0,0,0,1,2
C77.3,LN of axilla,1,2,5,3,9,4,1,0,25
C77.4,Inguinal region,0,1,2,4,2,3,1,1,14
C77.5,Pelvic LN,1,1,1,1,2,2,3,0,11
C77.9,LN,5,17,11,21,31,19,13,2,119
C80.9,Un known primary site,4,9,9,10,21,11,7,1,72
,Total,99,230,558,1107,1458,949,447,135,4983
