0,1,2,3,4,5
Primary site of tumour,,Sex,,Total,
,,Male,Female,,
LIP,,3 (0.5),6 (1.4),9 (0.8),
Base of the tongue,,1 (0.2),0 (0.0),1 (0.1),
Tongue,,151 (23.0),87 (20.2),238 (21.9),
Gum,,0 (0.0),6 (1.4),6 (0.6),
Floor of the mouth,,3 (0.5),6 (1.4),9 (0.8),
Hard palate,,4 (0.6),7 (1.6),11 (1.0),
Soft palate,,7 (1.1),6 (1.4),13 (1.2),
Uvula,,1 (0.2),7 (1.6),8 (0.7),
Palate,,10 (1.5),11 (2.6),21 (1.9),
Cheek /buccal mucosa,,94 (14.3),163 (37.8),257 (23.6),
Vestibule of mouth,,1 (0.2),0 (0.0),1 (0.1),
Oral cavity/Buccal cavity,,15 (2.3),30 (7.0),45 (4.1),
Parotid Gland,,23 (3.5),22 (5.1),45 (4.1),
Sub mandibular/maxillary gland,,56 (8.5),30 (7.0),86 (7.9),
Tonsillar fossa,,9 (1.4),2 (0.5),11 (1.0),
Tonsil,,75 (11.4),13 (3.0),88 (8.1),
Valecula,,6 (0.9),3 (0.7),9 (0.8),
Branchial cleft,,26 (4.0),5 (1.2),31 (2.9),
Oropharynx,,4 (0.6),0 (0.0),4 (0.4),
Nasopharynx,,28 (4.3),10 (2.3),38 (3.5),
Pyriformsinus/fossa,,108 (16.5),10 (2.3),118 (10.9),
Hypopharynx,,6 (0.9),4 (0.9),10 (0.9),
Pharynx,,23 (3.5),3 (0.7),26 (2.4),
,Total,656 (100.0),431 (100.0),1087 (100.0),
