0,1,2,3
Variables,"Male (%)
(n=7465)","Female (%)
(n=6579)","Total (%)
(n=10310)"
Religion,,,
Islam,7037 (94.3),6191 (94.1),13228 (94.2)
Hinduism,407 (5.5),362 (5.5),769 (5.5 )
Christianity,13 (0.2),17 (0.3),30 (0.2)
Buddhism,8 (0.1),9 (0.1),17 (0.1)
Marital status,,,
Never married,429 (5.7),221 (3.4),650 (4.6)
Married,7034 (94.2),6101 (92.7),13135 (93.5)
Widowed,1 (0.0),238 (3.6),239 (1.7)
Divorced,1 (0.0),19 (0.3),19 (0.1)
Education,,,
Not applicable,82 (1.1),50 (0.8),132 (0.9)
Illiterate,2302 (30.8),2581 (39.2),4883 (34.8)
Primary,3765 (50.4),3103 (47.2),6868 (48.9)
Secondary,601 (8.1),451 (6.9),1052 (7.5)
Higher secondary,348 (4.7),186 (2.8),534 (3.8)
Graduate & above,367 (4.9),208 (3.2),575 (4.1)
Occupation,,,
Not applicable,81 (1.1),49 (0.7),130 (0.9)
Service,810 (10.9),124 (1.9),934 (6.7)
Business,841 (11.3),10 (0.2),851 (6.1)
Agriculture,4785 (64.1),31 (0.5),4816 (34.3)
Day labourer,211 (2.8),0(0.0),211 (1.5)
House wife,-,6182 (94.0),4263 (41.3)
Retired/ aged,231 (3.1),17 (0.3),291 (2.8)
Industrial worker,59 (0.8),1 (0.0),60 (0.6)
Student,278 (3.7),157 (2.4),435 (3.4)
Others,169 (2.3),8 (0.1),8 (1.3)
