0,1,2,3,4,5,6,7,8,9,10,11
ICD-O,Primary site of tumour,Age group,,,,,,,,,
,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,Total
C00,LIP,0,0,0,2,1,3,3,2,0,11
C01.9,Base of the tongue,0,0,2,2,1,3,0,0,0,8
C02.9,Tongue,0,1,13,22,37,42,30,11,4,160
C03.9,Gum,0,0,0,0,1,1,2,2,0,6
C04.9,Floor of the mouth,0,0,0,1,5,4,5,3,0,18
C05.0,Hard palate,0,0,0,2,0,2,2,0,1,7
C05.1,Soft palate,3,1,5,6,4,3,3,2,0,27
C05.9,Palate,0,0,0,1,2,1,1,2,0,7
C06.0,Cheek /buccal mucosa,0,1,6,21,54,53,26,10,2,173
C06.9,Oral cavity/Buccal cavity,0,0,4,5,4,10,5,0,2,30
C07.9,Parotid Gland,0,3,5,4,9,4,2,0,0,27
C08.0,Sub mandibular/maxillary gland,1,1,3,7,12,15,12,4,2,57
C09.0,Tonsillar fossa,0,0,0,1,1,3,3,0,0,8
C09.9,Tonsil,1,2,1,7,21,32,22,7,1,94
C10.0,Valecula,0,0,0,0,0,2,2,0,0,4
C10.4,Branchial cleft,0,0,1,2,8,23,18,5,2,59
C10.9,Oropharynx,0,0,0,0,1,1,1,0,0,3
C11.9,Nasopharynx,3,4,3,0,5,11,2,0,0,28
C12.9,Pyriformsinus/fossa,1,1,3,10,31,52,38,7,1,144
C13.0,Cricoid,0,1,0,0,1,2,0,0,0,4
C13.1,Aryepiglotic fold,0,0,0,2,4,2,1,1,0,10
C13.9,Hypopharynx,0,0,0,0,2,0,0,0,1,3
C14.0,Pharynx,0,0,2,4,4,8,2,1,0,21
C13.9,Laryngopharynx,0,0,0,0,1,0,0,0,0,1
C15.0,Cervical oesophagus,2,0,4,11,9,12,9,3,1,51
C15.9,Oesophagus,0,1,12,32,86,148,91,43,7,420
C16.3,Gastric antrum,0,0,0,1,0,1,1,0,0,3
C16.9,Stomach,0,6,17,45,69,122,86,27,5,377
C17.0,Duodenum,0,0,0,0,0,1,2,1,0,4
C17.2,Ileum,0,1,3,1,2,1,4,0,0,12
C18.0,Cecum,0,0,4,6,5,3,1,0,0,19
C18.1,Appendix,0,0,1,0,0,0,0,0,0,1
C18.2,Ascending colon,0,0,1,0,0,0,0,0,0,1
