0,1,2,3
Country,Population,Area,"Population
density/sq.
km."
Bangladesh,"162,221,000","143,998","1,126.55"
Maldives,"309,000",298,"1,036.913"
South Korea,"48,456,369","99,538",486.813
Haiti,"10,033,000","27,750",361.55
India,"1,173,731,589","3,287,263",357.054
Sri Lanka,"20,238,000","65,610",308.459
Philippines,"92,226,600","300,076",307.344
Vietnam,"85,789,573","331,689",258.645
Pakistan,"168,186,000","803,940",209.202
Dominican Republic,"10,090,000","48,671",207.31
Greece,"11,260,402","131,957",85.334
Myanmar (Burma),"50,020,000","676,578",73.931
Honduras,"7,466,000","112,492",66.369
Tajikistan,"6,952,000","143,100",48.581
Nicaragua,"5,743,000","130,000",44.177
Venezuela,"28,583,554","916,445",31.19
Mozambique,"22,894,000","801,590",28.561
Papua New Guinea,"6,732,000","462,840",14.545
