0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,Measles Cases,,,,,,Rubella Cases,,,,Discarded Cases,,,,,Incidence,,Discarded Rate
n,,s,"Lab
confirmed",,"E p i -
linked","C l i n i cally
compatiblae",,Total,"Lab
confirmed",,"E p i -
linked",Total,"Both
Negative
(Discarded)",,"Epi-
linked
(Discarded)",Total,"n
o
ita
c
ifis
sa
lc","Incidence per 1
million
population",,"Non-measles
non-rubella
discarded rate
per 100,000
pop"
"o
is
iv
iD",District,"e
sa
c
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
s
e
lsa
e
m
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
a
lle
b
u
r
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
d
e
d
ra
c
s
id
la
to
T","ro
f
g
n
id
n
e
p
s
e
sa
C","s
e
lsa
e
M","a
lle
b
u
R","s
u
ta
ts
tc
ir
ts
iD"
"L
A
S
IR
A
B",BARGUNA,135,59,4,2,4,0,65,1,0,0,1,64,3,0,67,0,60.6,1.0,6.44
,BARISAL,134,35,14,6,5,0,55,2,0,0,2,65,13,0,78,0,21.1,0.9,3.35
,BARISAL CC.,49,9,15,7,1,0,31,1,0,0,1,12,7,4,23,0,62.7,2.6,6.01
,BHOLA,159,37,11,5,7,0,53,0,0,0,0,99,5,0,104,0,23.2,0.0,5.02
,JHALAKATI,143,75,11,2,2,0,88,3,0,0,3,48,4,0,52,0,108.1,3.8,6.54
,PATUAKHALI,249,116,22,9,18,0,147,2,0,0,2,79,9,3,91,0,77.1,1.1,5.09
,PEROJPUR,81,21,0,0,1,0,21,3,0,0,3,48,5,3,56,0,16.2,2.3,4.32
,BARISAL,950,352,77,31,38,0,460,12,0,0,12,415,56,0,471,0,44.2,1.2,4.86
"G
N
O
G
A
T
T
IH
C",BANDARBAN,103,23,0,0,2,19,23,0,0,0,0,16,9,34,59,0,50.8,0.0,13.04
,BRAHMANBARIA,252,38,45,39,5,15,122,2,0,0,2,83,23,41,147,0,25.1,0.6,4.44
,CHANDPUR,193,93,0,0,14,21,93,3,1,0,4,52,9,0,61,0,33.0,1.4,2.17
,CHITTAGONG,323,100,38,29,17,0,167,2,1,0,3,58,29,78,165,0,23.5,0.5,2.81
,CHITTAGONG CC.,167,89,1,0,15,0,90,0,0,0,0,21,14,27,62,0,29.9,0.0,2.06
,COMILLA,480,106,74,59,14,0,239,6,0,0,6,121,32,127,280,0,30.5,1.0,4.75
,COMILLA CC.,35,13,0,0,1,0,13,1,0,0,1,20,0,0,20,0,34.2,2.6,5.26
,COX'S BAZAR,312,126,42,35,4,8,203,0,1,0,1,52,31,48,131,0,63.0,0.4,4.91
,FENI,102,42,0,0,4,0,42,0,0,0,0,56,0,0,56,0,25.1,0.0,3.34
,KHAGRACHARI,55,17,0,0,1,0,17,1,0,0,1,36,0,0,36,0,23.8,1.4,5.03
,LAKSHMIPUR,343,156,71,40,23,19,267,5,0,0,5,47,22,0,69,0,112.7,2.5,3.42
,NOAKHALI,230,115,7,5,20,0,127,2,0,0,2,83,3,0,86,0,33.1,0.6,2.32
,RANGAMATI,72,48,0,0,5,0,48,0,0,0,0,19,0,0,19,0,69.1,0.0,2.74
,CHITTAGONG,2667,966,278,207,125,82,1451,22,3,0,25,664,527,0,1191,0,37.5,0.8,3.59
"A
K
A
H
D",DHAKA,286,137,0,0,27,0,137,0,0,0,0,93,14,15,122,0,23.5,0.0,2.09
,DHAKA NORTH CC.,387,239,33,14,29,4,286,1,0,0,1,47,14,20,81,0,59.0,0.2,1.76
,DHAKA SOUTH CC.,465,164,138,120,44,6,422,3,0,0,3,47,36,27,110,0,84.2,0.8,3.07
,FARIDPUR,189,68,0,0,30,0,68,7,0,0,7,84,0,0,84,0,30.5,3.1,3.77
,GAZIPUR,97,44,0,0,5,0,44,0,0,0,0,48,0,0,48,0,20.8,0.0,2.27
,GAZIPUR CC.,125,38,10,5,26,0,53,3,1,0,4,27,9,11,47,0,25.9,2.2,2.53
,GOPALGANJ,178,82,29,27,16,0,138,2,0,0,2,47,2,0,49,0,81.3,1.5,3.59
,KISHOREGANJ,160,48,16,5,21,0,69,4,0,0,4,69,2,0,71,0,18.9,1.2,2.09
,MADARIPUR,131,58,9,7,11,0,74,2,0,0,2,48,3,0,51,0,49.3,1.5,3.75
,MANIKGANJ,78,20,0,0,6,0,20,2,0,0,2,50,0,0,50,0,12.3,1.2,3.08
