0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
"n
o
is
i",District,"s
e
s
a
c
l",Measles Cases,,,Clinically,Rubella Cases,,,Discarded Cases,"ro
f n
g n id o ita
n e c if",Incidence,,Discarded Rate
,,,Lab,E p i-,,,Lab,E p i -,,Both Negative,,"Incidence per 1
million
population",,"Non-measles non-
rubella discarded
rate per 100,000 pop"
"v
iD",,"a
to
T",confirmed,linked,Total,compatible,confirmed,linked,Total,(Discarded),"pis
ss
a
e lc
s
a
C","s
e
ls
a
e
M","a
lle
b
u
R","s
u
ta
ts
tc
ir
ts
iD"
"L
A
S
IR
A
B",BARGUNA,73,8,0,8,1,0,0,0,64,0,7.58,0.00,6.06
,BARISAL,67,7,0,7,2,0,0,0,58,0,2.97,0.00,2.46
,BARISAL CC.,20,2,0,2,2,0,0,0,16,0,5.15,0.00,4.12
,BHOLA,88,18,0,18,1,0,0,0,69,0,8.57,0.00,3.28
,JHALAKATI,34,6,0,6,1,0,0,0,27,0,7.43,0.00,3.35
,PATUAKHALI,113,29,0,29,1,1,0,1,82,0,15.97,0.55,4.52
,PEROJPUR,52,6,0,6,1,1,0,1,44,0,4.56,0.76,3.34
,BARISAL,447,76,0,76,9,2,0,2,360,0,7.72,0.20,3.66
"G
N
O
G
A
T
T
IH
C",BANDARBAN,108,36,50,86,0,0,0,0,22,0,187.31,0.00,4.79
,BRAHMANBARIA,207,25,98,123,2,2,0,2,80,0,36.62,0.60,2.38
,CHANDPUR,108,23,0,23,11,1,0,1,73,0,8.05,0.35,2.56
,CHITTAGONG,77,43,0,43,0,1,0,1,33,0,7.23,0.17,0.55
,CHITTAGONG CC.,90,56,0,56,0,0,0,0,34,0,18.33,0.00,1.11
,COMILLA,128,23,0,23,8,1,0,1,96,0,3.84,0.17,1.60
,COMILLA CC.,6,0,0,0,0,0,0,0,6,0,0.00,0.00,1.55
,COX'S BAZAR,133,86,0,86,1,1,0,1,45,0,31.76,0.37,1.66
,FENI,25,6,0,6,0,0,0,0,19,0,3.53,0.00,1.12
,KHAGRACHARI,142,15,92,107,0,0,0,0,35,0,147.41,0.00,4.82
,LAKSHMIPUR,120,66,0,66,6,0,0,0,48,0,32.28,0.00,2.35
,NOAKHALI,93,33,0,33,7,3,0,3,50,0,8.98,0.82,1.36
,RANGAMATI,30,7,8,15,0,0,0,0,15,0,21.29,0.00,2.13
,CHITTAGONG,1267,419,248,667,35,9,0,9,556,0,19.85,0.27,1.65
"A
K
A
H
D",DHAKA,96,24,0,24,32,1,0,1,39,0,4.05,0.17,0.66
,DHAKA NORTH CC.,222,45,0,45,104,2,0,2,71,0,9.62,0.43,1.52
,DHAKA SOUTH CC.,186,47,0,47,81,2,0,2,56,0,12.92,0.55,1.54
,FARIDPUR,94,35,0,35,3,3,0,3,53,0,15.47,1.33,2.34
,GAZIPUR,71,20,0,20,12,2,0,2,37,0,9.34,0.93,1.73
,GAZIPUR CC.,43,11,0,11,11,3,0,3,18,0,5.84,1.59,0.96
,GOPALGANJ,67,13,0,13,4,1,0,1,49,0,9.38,0.72,3.53
,KISHOREGANJ,84,13,0,13,7,1,0,1,63,0,3.78,0.29,1.83
,MADARIPUR,72,10,0,10,7,1,0,1,54,0,7.25,0.73,3.92
,MANIKGANJ,48,5,0,5,2,0,0,0,41,0,3.04,0.00,2.49
,MUNSHIGANJ,54,10,0,10,14,1,0,1,29,0,5.85,0.59,1.70
,NARAYANGANJ,78,12,0,12,28,1,0,1,37,0,4.53,0.38,1.40
,NARAYANGANJ CC.,7,3,0,3,0,0,0,0,4,0,3.58,0.00,0.48
,NARSINGDHI,98,30,0,30,11,3,0,3,54,0,11.40,1.14,2.05
,RAJBARI,38,5,0,5,1,1,0,1,31,0,4.03,0.81,2.50
,SARIATPUR,55,7,0,7,3,0,0,0,45,0,5.12,0.00,3.29
,TANGAIL,113,32,0,32,4,6,0,6,71,0,7.51,1.41,1.67
,DHAKA,1426,322,0,322,324,28,0,28,752,0,7.48,0.65,1.75
"A
N
L
U
H
K",BAGERHAT,80,24,,24,0,0,0,0,56,0,13.75,0.00,3.21
,CHUADANGA,44,6,,6,0,1,0,1,37,0,4.49,0.75,2.77
,JESSORE,141,49,16,65,3,4,0,4,69,0,19.89,1.22,2.11
,JHENAIDAH,71,38,2,40,1,0,0,0,30,0,19.10,0.00,1.43
,KHULNA,44,12,,12,0,0,0,0,32,0,6.13,0.00,1.64
,KHULNA CC.,11,6,,6,0,0,0,0,5,0,7.65,0.00,0.64
,KUSHTIA,99,18,,18,2,1,0,1,78,0,7.82,0.43,3.39
,MAGURA,75,24,,24,2,0,0,0,49,0,22.10,0.00,4.51
,MEHERPUR,47,7,,7,16,0,0,0,24,0,9.03,0.00,3.10
,NARAIL,136,60,33,93,0,5,0,5,38,0,109.00,5.86,4.45
,SATKHIRA,65,15,,15,0,3,0,3,47,0,6.39,1.28,2.00
,KHULNA,813,259,51,310,24,14,0,14,465,0,16.71,0.75,2.51
