0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
,েত ২৪ ঘন্টায়,,,,,,,,,,,,,,,,,,,,,১৫ মার্ চ২০২৬ যেন্দক অদ্যাবনি,,,,,,,,,,,,,,,
রবভাগ,,,,সন্দেহজনক,,,,,,নননিত,,,,,,ভনতরি সংখ্যা,,,সুস্থ,,,সন্দেহজনক,,,,,,নননিত,,,,,,ভনতরি সংখ্যা,,,সুস্থ
,,,"েত ২৪ ঘন্টায়
হাম যরােীর
সংখ্যা",,,"েত ২৪ ঘন্টায়
হাম যরান্দে
মৃত্যুর সংখ্যা",,,"েত ২৪ ঘন্টায়
হাম যরােীর
সংখ্যা",,,,েত ২৪,,"েত ২৪ ঘন্টায়
হাম যরােী
ভনতরি সংখ্যা",,,,েত ২৪ ঘন্টায়,,"অদ্যািনি
যমাট হাম
যরােীর সংখ্যা",,,"অদ্যািনি যমাট
হাম যরান্দে
মৃত্যুর সংখ্যা",,,,অদ্যািনি,,,অদ্যািনি,,,অদ্যািনি,,,"অদ্যািনি
হাসপাতাল হন্দত
যমাট ছাড়প্রাপ্ত
যরােীর সংখ্যা"
,,,,,,,,,,,,,ঘন্টায় হাম,,,,,,হাসপাতাল হন্দত,,,,,,,,,যমাট নননিত,,,যমাট হাম,,,যমাট হাম,,,
,,,,,,,,,,,,,যরান্দে মৃত্যুর,,,,,,ছাড়প্রাপ্ত যরােীর,,,,,,,,,হাম যরােীর,,,যরান্দে মৃত্যুর,,,যরােী ভনতরি,,,
,,,,,,,,,,,,,সংখ্যা,,,,,,সংখ্যা,,,,,,,,,সংখ্যা,,,সংখ্যা,,,সংখ্যা,,,
ঢাকা,,,588,,,4,,,132,,,1,,,440,,,466,,,24464,,,147,,,5017,,,45,,,17018,,,15208,
রাজশাহী,,,159,,,0,,,0,,,0,,,68,,,79,,,9222,,,78,,,1107,,,2,,,4603,,,4037,
বনিশাল,,,126,,,0,,,3,,,0,,,126,,,124,,,4079,,,29,,,148,,,11,,,3423,,,3122,
র্ট্টগ্রাম,,,273,,,1,,,18,,,0,,,262,,,311,,,8000,,,32,,,565,,,7,,,7226,,,6778,
ময়মননসংহ,,,40,,,1,,,0,,,0,,,39,,,26,,,1137,,,31,,,42,,,2,,,845,,,651,
নসন্দলট,,,79,,,0,,,0,,,0,,,74,,,63,,,2486,,,29,,,148,,,3,,,2090,,,1694,
খুলনা,,,87,,,0,,,0,,,0,,,87,,,60,,,3918,,,19,,,239,,,0,,,3503,,,3083,
রংপুর,,,11,,,0,,,2,,,0,,,10,,,7,,,1113,,,4,,,39,,,0,,,452,,,395,
,সমাট,,,"1,363",,,6,,,155,,,1,,,"1,106",,,"1,136",,,"54,419",,,369,,,"7,305",,,70,,,"39,160",,,"34,968"
