0,1,2,3,4
"Table 16: Distribution of informal (non-qualified and non-recognized) health workers by Division, estimated number
and density",,,,
"Division (% of total population in
Bangladesh)","Number of informal
workers (% of total)","Density per
10000 pop.","Density per 10000
pop. urban","Density per
10000 pop. rural"
Barishal (6.83%),"17,813 (7.3%)",16.28,48.03,15.1
Chattogram (14.06%),"21,914 (9%)",9.73,15.87,6.73
Dhaka (17.82%),"106, 408 (43.6%)",37.27,52.47,9.46
Khulna (9.71%),"28,594 (11.7%)",18.38,17.76,18.74
Mymensingh (4.32%),"14,180 (5.8%)",20.46,11.58,26.6
Rajshahi (22.12%),"25,547 (10.5%)",7.21,11.48,6.09
Rangpur (13.92%),"20,157 (8.3%)",9.04,10.33,7.26
Sylhet (11.21%),"9,141 (3.8%)",5.21,3.99,5.51
Total,"243,754",15.21,24.64,10.17
