0,1,2,3,4,5,6,7
Table 17: Projection of the supply of doctors according to scenario 1,,,,,,,
Year,New registrations,,,,"Supply of previous
year",Attrition rate,Total Supply
,Graduate,,Increase,80%,,4%,
2018,,,,,,,76867
2019,9390,,,7512,76867,3075,81304
2020,8782,,,7026,81304,3252,85078
2021,9310,,,7448,85078,3403,89123
2022,9256,,,7405,89123,3565,92963
2023,9311,,,7449,92963,3719,96693
2024,9354,,,7483,96693,3868,100308
2025,9354,,,7483,100308,4012,103779
2026,9354,,,7483,103779,4151,107111
2027,9354,,,7483,107111,4284,110310
2028,9354,,,7483,110310,4412,113381
2029,9354,,,7483,113381,4535,116329
2030,9354,,,7483,116329,4653,119159
,,,,,,,
