0,1,2,3,4,5,6
Table 21a: Projection of the density of medical technologists per 10000 (2018-2030) according to scenarios 3 and 4,,,,,,
"Occupational category
(Density/2018)",Density/2024,,,Density/2030,,
,"Scenarios
3- 4 (+10%)","Scenarios
3- 4 (+20%)","Scenarios
3- 4 (+10%)","Scenarios
3- 4 (+20%)","Scenarios
3- 4 (+10%)","Scenarios
3- 4 (+20%)"
"Medical Technolo-
gist-Laboratory (0.77)",0.88,0.81,0.81,0.81,0.83,0.86
"Medical Technolo-
gist-Radiotherapy (0.03)",0.05,0.05,0.05,0.06,0.06,0.06
"Medical Technolo-
gist-Radiography &
Imaging (0.21)",0.27,0.27,0.27,0.3,0.31,0.33
"Medical Technolo-
gist-Physiotherapy
(0.14)",0.2,0.2,0.2,0.23,0.24,0.25
"Medical Technolo-
gist-Dentistry (0.25)",0.28,0.28,0.29,0.29,0.3,0.31
"Medical Technolo-
gist-Operation Theater
(OT) Assistance (0.01)",0.04,0.04,0.04,0.06,0.07,0.07
"Medical Technolo-
gist-Intensive Care (IC)
Assistance (0)",0.03,0.03,0.03,0.04,0.04,0.04
"Medical Technolo-
gist-Prosthetics and
Orthotics (0.001)",0.003,0.004,0.004,0.005,0.005,0.005
"Medical Technologist -
Pharmacy (B-Category)
(0.88)",0.88,0.88,0.88,0.85,0.86,0.87
