0,1
"Annex II: Composition of the Technical Expert Group (TEG) &
Technical Support Group (TSG)",
,
Technical Expert Group (TEG),
"Additional Secretary (Admin) and Line Director (HRD), Health Services Division",Chairperson
"Additional Secretary (Medical Education), Medical Education & Family Welfare Division",Member
"Joint Secretary (Hospital), Health Services Division",Member
"Joint Secretary (Admin), Ministry of Public Administration",Member
"Joint Secretary (Admin), Ministry of Expatriate’s Welfare and Overseas Employment",Member
"Joint Secretary (Planning), Medical Education & Family Welfare Division",Member
"Director (Admin), Directorate General of Health Services (DGHS)",Member
"Director (Admin), Directorate General of Family Planning (DGFP)",Member
Director (Medical Education & Health Manpower Development) DGME,Member
"Director (Admin), Directorate General of Nursing & Midwifery (DGNM)",Member
"Director (Admin), Directorate General of Drug Administration (DGDA)",Member
"Director (Admin), Health Economics Unit",Member
"Vice President, Bangladesh Medical & Dental Council (BMDC) & Principal, Shaheed Suhrawardi Medical College",Member
"Secretary General, Bangladesh Private Medical Practitioners Association (BPMPA) and Executive
Committee Member, Bangladesh Medical Association (BMA)",Member
"First Secretary (Development), Global Affairs Canada, High Commission of Canada to Bangladesh",Member
"Team Leader – Health Systems, World Health Organization Bangladesh",Member
"Deputy Director, HSS Pillar, USAID, Bangladesh",Member
"Health Advisor, DFID, British High Commission Bangladesh",Member
"Deputy Secretary (GNSP), Health Services Division",Member
"Additional/Joint Secretary, (HR) & Programme Manager (HRD), Health Services Division","Member
Secretary"
