0,1,2,3,4,5,6,7,8,9
Table 13: Projection of the supply of SACMOs according to scenario 1,,,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of previ-
ous year",,"Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,,
2018,,,,,,,14081,164600000,0.86
2019,3787,,3030,14081,,563,16547,,
2020,3251,,2601,16547,,662,18486,,
2021,3549,,2839,18486,,739,20586,,
2022,3288,,2630,20586,,823,22393,,
2023,3288,,2630,22393,,896,24128,,
2024,3288,,2630,24128,,965,25793,174612904,1.48
2025,3288,,2630,25793,,1032,27392,,
2026,3288,,2630,27392,,1096,28926,,
2027,3288,,2630,28926,,1157,30400,,
2028,3288,,2630,30400,,1216,31814,,
2029,3288,,2630,31814,,1273,33172,,
2030,3288,,2630,33172,,1327,34475,190686952,1.81
,,,,,,,Source: BBS Pop Projection 2011-2061,,
